file,method,requests,phi_total,delay_term,frag_term,aff_reward_term,load_term,CA,objective_CA
fg_cache1024_req1000.json,FG-DSCR-GC-K8sCA-tuned,1000,4740149.649046216,561317.475,4178832.1740462165,0.0,0.0,906,1083.5109929078014
fg_cache1024_req200.json,FG-DSCR-GC-K8sCA-tuned,200,5969957.835802033,675034.4708333333,5294923.3649686985,0.0,0.0,104,712.6739149305556
fg_cache1024_req300.json,FG-DSCR-GC-K8sCA-tuned,300,4740149.649046216,561317.475,4178832.1740462165,0.0,0.0,206,864.4921708776595
fg_cache1024_req400.json,FG-DSCR-GC-K8sCA-tuned,400,4740149.649046216,561317.475,4178832.1740462165,0.0,0.0,306,942.8255042109929
fg_cache1024_req500.json,FG-DSCR-GC-K8sCA-tuned,500,2358546.2931401436,664180.5416666666,1694365.751473477,0.0,0.0,409,1002.2310926053113
fg_cache1024_req600.json,FG-DSCR-GC-K8sCA-tuned,600,4740149.649046216,561317.475,4178832.1740462165,0.0,0.0,506,1021.1588375443263
fg_cache1024_req700.json,FG-DSCR-GC-K8sCA-tuned,700,4740149.649046216,561317.475,4178832.1740462165,0.0,0.0,606,1043.5397899252787
fg_cache1024_req800.json,FG-DSCR-GC-K8sCA-tuned,800,4740149.649046216,561317.475,4178832.1740462165,0.0,0.0,706,1060.325504210993
fg_cache1024_req900.json,FG-DSCR-GC-K8sCA-tuned,900,4740149.649046216,561317.475,4178832.1740462165,0.0,0.0,806,1073.3810597665483
wo_frag_cache1024_req1000.json,FG-w-o-frag-K8sCA,1000,378010.0916666666,378010.0916666666,0.0,0.0,0.0,906,1083.452066710993
wo_frag_cache1024_req200.json,FG-w-o-frag-K8sCA,200,458714.63750000007,458714.63750000007,0.0,0.0,0.0,104,702.1825954861112
wo_frag_cache1024_req300.json,FG-w-o-frag-K8sCA,300,378010.0916666666,378010.0916666666,0.0,0.0,0.0,206,864.1187333776595
wo_frag_cache1024_req400.json,FG-w-o-frag-K8sCA,400,378010.0916666666,378010.0916666666,0.0,0.0,0.0,306,942.4520667109929
wo_frag_cache1024_req500.json,FG-w-o-frag-K8sCA,500,665154.6958333334,665154.6958333334,0.0,0.0,0.0,409,1000.2111549908425
wo_frag_cache1024_req600.json,FG-w-o-frag-K8sCA,600,378010.0916666666,378010.0916666666,0.0,0.0,0.0,506,1020.7854000443263
wo_frag_cache1024_req700.json,FG-w-o-frag-K8sCA,700,378010.0916666666,378010.0916666666,0.0,0.0,0.0,606,1043.1663524252788
wo_frag_cache1024_req800.json,FG-w-o-frag-K8sCA,800,378010.0916666666,378010.0916666666,0.0,0.0,0.0,706,1059.952066710993
wo_frag_cache1024_req900.json,FG-w-o-frag-K8sCA,900,378010.0916666666,378010.0916666666,0.0,0.0,0.0,806,1073.0076222665484
