iter,progress,container_id,chosen_node,raw_delay,raw_frag,raw_aff,raw_load,delay_term,frag_term,aff_reward_term,aff_contrib_to_phi,load_term,phi_total
1,0.0016666666666666668,c001,edge-1,608.0166666666667,0.041666666666666664,0.0,1.0,608.0166666666667,0.041666666666666664,0.0,-0.0,1.0,609.0583333333333
2,0.0033333333333333335,c002,edge-7,2603.2833333333333,0.04976851851851852,0.0,2.0,2603.2833333333333,0.04976851851851852,0.0,-0.0,2.0,2605.333101851852
3,0.005,c003,edge-2,15684.895833333332,0.06481481481481481,0.0,3.0,15684.895833333332,0.06481481481481481,0.0,-0.0,3.0,15687.960648148148
4,0.006666666666666667,c004,edge-5,17600.245833333334,0.0810185185185185,0.0,4.0,17600.245833333334,0.0810185185185185,0.0,-0.0,4.0,17604.326851851853
5,0.008333333333333333,c005,edge-4,30681.85833333333,0.12268518518518516,0.0,5.0,30681.85833333333,0.12268518518518516,0.0,-0.0,5.0,30686.981018518516
6,0.01,c006,edge-4,31991.85833333333,0.1423611111111111,0.0,8.0,31991.85833333333,0.1423611111111111,0.0,-0.0,8.0,32000.00069444444
7,0.011666666666666667,c007,edge-6,32619.05833333333,0.14814814814814814,0.0,9.0,32619.05833333333,0.14814814814814814,0.0,-0.0,9.0,32628.20648148148
8,0.013333333333333334,c008,edge-8,32621.17083333333,0.16782407407407407,0.0,10.0,32621.17083333333,0.16782407407407407,0.0,-0.0,10.0,32631.338657407403
9,0.015,c009,edge-6,50568.48333333334,0.2065972222222222,28.0,13.0,50568.48333333334,0.2065972222222222,5.6000000000000005,-5.6000000000000005,13.0,50576.08993055556
10,0.016666666666666666,c010,edge-5,57534.80000000001,0.22453703703703703,28.0,16.0,57534.80000000001,0.22453703703703703,5.6000000000000005,-5.6000000000000005,16.0,57545.42453703705
11,0.018333333333333333,c011,edge-5,64077.200000000004,0.25405092592592593,28.0,21.0,64077.200000000004,0.25405092592592593,5.6000000000000005,-5.6000000000000005,21.0,64092.85405092593
12,0.02,c012,edge-6,64077.200000000004,0.2974537037037037,1051.0,26.0,64077.200000000004,0.2974537037037037,210.20000000000002,-210.20000000000002,26.0,63893.29745370371
13,0.021666666666666667,c013,edge-5,64077.200000000004,0.2974537037037037,1283.0,33.0,64077.200000000004,0.2974537037037037,256.6,-256.6,33.0,63853.89745370371
14,0.023333333333333334,c014,edge-3,68310.8,0.3229166666666667,1283.0,34.0,68310.8,0.3229166666666667,256.6,-256.6,34.0,68088.52291666667
15,0.025,c015,edge-4,68310.8,0.31886574074074076,2306.0,39.0,68310.8,0.31886574074074076,461.20000000000005,-461.20000000000005,39.0,67888.91886574075
16,0.02666666666666667,c016,edge-1,69573.2,0.3402777777777778,2306.0,42.0,69573.2,0.3402777777777778,461.20000000000005,-461.20000000000005,42.0,69154.34027777778
