iter,progress,container_id,chosen_node,raw_delay,raw_frag,raw_aff,raw_load,delay_term,frag_term,aff_reward_term,aff_contrib_to_phi,load_term,phi_total
1,0.005,c001,edge-8,1683.6125,0.011574074074074075,0.0,1.0,1683.6125,0.011574074074074075,0.0,-0.0,1.0,1684.624074074074
2,0.01,c002,edge-4,14765.224999999999,0.017361111111111112,0.0,2.0,14765.224999999999,0.017361111111111112,0.0,-0.0,2.0,14767.24236111111
3,0.015,c003,edge-6,27846.837499999998,0.02662037037037037,0.0,3.0,27846.837499999998,0.02662037037037037,0.0,-0.0,3.0,27849.864120370366
4,0.02,c004,edge-6,27846.837499999998,0.05787037037037037,1023.0,6.0,27846.837499999998,0.05787037037037037,204.60000000000002,-204.60000000000002,6.0,27648.295370370368
5,0.025,c005,edge-3,30240.854166666664,0.06018518518518519,1023.0,7.0,30240.854166666664,0.06018518518518519,204.60000000000002,-204.60000000000002,7.0,30043.314351851852
6,0.03,c006,edge-6,30240.854166666664,0.07291666666666666,2046.0,12.0,30240.854166666664,0.07291666666666666,409.20000000000005,-409.20000000000005,12.0,29843.72708333333
7,0.035,c007,edge-7,35356.120833333334,0.10300925925925924,2046.0,13.0,35356.120833333334,0.10300925925925924,409.20000000000005,-409.20000000000005,13.0,34960.0238425926
8,0.04,c008,edge-7,41944.92083333334,0.14004629629629628,2046.0,16.0,41944.92083333334,0.14004629629629628,409.20000000000005,-409.20000000000005,16.0,41551.86087962964
9,0.045,c009,edge-3,42338.92083333334,0.15856481481481483,2407.0,19.0,42338.92083333334,0.15856481481481483,481.40000000000003,-481.40000000000003,19.0,41876.67939814815
10,0.05,c010,edge-6,42338.92083333334,0.17129629629629628,3430.0,26.0,42338.92083333334,0.17129629629629628,686.0,-686.0,26.0,41679.09212962964
11,0.055,c011,edge-7,47234.92083333334,0.1712962962962963,3430.0,31.0,47234.92083333334,0.1712962962962963,686.0,-686.0,31.0,46580.09212962964
12,0.06,c012,edge-4,47234.92083333334,0.1846064814814815,4453.0,34.0,47234.92083333334,0.1846064814814815,890.6,-890.6,34.0,46378.50543981482
13,0.065,c013,edge-4,48922.92083333334,0.22627314814814817,4453.0,39.0,48922.92083333334,0.22627314814814817,890.6,-890.6,39.0,48071.547106481485
14,0.07,c014,edge-7,48922.92083333334,0.21701388888888887,4737.0,46.0,48922.92083333334,0.21701388888888887,947.4000000000001,-947.4000000000001,46.0,48021.737847222226
