iter,progress,container_id,chosen_node,raw_delay,raw_frag,raw_aff,raw_load,delay_term,frag_term,aff_reward_term,aff_contrib_to_phi,load_term,phi_total
1,0.001,c001,edge-6,456.0125,0.041666666666666664,0.0,1.0,456.0125,0.041666666666666664,0.0,-0.0,1.0,457.0541666666667
2,0.002,c002,edge-7,2451.2791666666667,0.04976851851851852,0.0,2.0,2451.2791666666667,0.04976851851851852,0.0,-0.0,2.0,2453.3289351851854
3,0.003,c003,edge-2,15532.891666666666,0.06481481481481481,0.0,3.0,15532.891666666666,0.06481481481481481,0.0,-0.0,3.0,15535.956481481482
4,0.004,c004,edge-5,17448.24166666667,0.0810185185185185,0.0,4.0,17448.24166666667,0.0810185185185185,0.0,-0.0,4.0,17452.322685185187
5,0.005,c005,edge-4,30529.854166666664,0.12268518518518516,0.0,5.0,30529.854166666664,0.12268518518518516,0.0,-0.0,5.0,30534.97685185185
6,0.006,c006,edge-2,31839.854166666664,0.1284722222222222,0.0,8.0,31839.854166666664,0.1284722222222222,0.0,-0.0,8.0,31847.982638888887
7,0.007,c007,edge-6,32011.041666666664,0.12962962962962962,191.0,11.0,32011.041666666664,0.12962962962962962,38.2,-38.2,11.0,31983.971296296295
8,0.008,c008,edge-2,32361.879166666666,0.14467592592592593,191.0,16.0,32361.879166666666,0.14467592592592593,38.2,-38.2,16.0,32339.823842592592
9,0.009,c009,edge-4,32361.879166666666,0.1880787037037037,1214.0,19.0,32361.879166666666,0.1880787037037037,242.8,-242.8,19.0,32138.26724537037
10,0.01,c010,edge-5,39328.19583333333,0.20601851851851852,1214.0,22.0,39328.19583333333,0.20601851851851852,242.8,-242.8,22.0,39107.60185185185
11,0.011,c011,edge-1,40225.2625,0.24999999999999997,1214.0,23.0,40225.2625,0.24999999999999997,242.8,-242.8,23.0,40005.712499999994
12,0.012,c012,edge-4,40225.2625,0.2934027777777778,2237.0,28.0,40225.2625,0.2934027777777778,447.40000000000003,-447.40000000000003,28.0,39806.15590277778
13,0.013,c013,edge-8,40898.0625,0.2934027777777778,2237.0,29.0,40898.0625,0.2934027777777778,447.40000000000003,-447.40000000000003,29.0,40479.95590277778
14,0.014,c014,edge-3,45131.662500000006,0.3188657407407407,2237.0,30.0,45131.662500000006,0.3188657407407407,447.40000000000003,-447.40000000000003,30.0,44714.58136574074
15,0.015,c015,edge-4,45131.662500000006,0.3148148148148148,3260.0,37.0,45131.662500000006,0.3148148148148148,652.0,-652.0,37.0,44516.97731481482
