iter,progress,container_id,chosen_node,raw_delay,raw_frag,raw_aff,raw_load,delay_term,frag_term,aff_reward_term,aff_contrib_to_phi,load_term,phi_total
1,0.0025,c001,edge-7,608.0166666666667,0.041666666666666664,0.0,1.0,608.0166666666667,0.041666666666666664,0.0,-0.0,1.0,609.0583333333333
2,0.005,c002,edge-5,2603.2833333333333,0.04976851851851852,0.0,2.0,2603.2833333333333,0.04976851851851852,0.0,-0.0,2.0,2605.333101851852
3,0.0075,c003,edge-2,15684.895833333332,0.06481481481481481,0.0,3.0,15684.895833333332,0.06481481481481481,0.0,-0.0,3.0,15687.960648148148
4,0.01,c004,edge-3,17600.245833333334,0.08101851851851852,0.0,4.0,17600.245833333334,0.08101851851851852,0.0,-0.0,4.0,17604.326851851853
5,0.0125,c005,edge-4,30681.85833333333,0.12268518518518517,0.0,5.0,30681.85833333333,0.12268518518518517,0.0,-0.0,5.0,30686.981018518516
6,0.015,c006,edge-4,31991.85833333333,0.1423611111111111,0.0,8.0,31991.85833333333,0.1423611111111111,0.0,-0.0,8.0,32000.00069444444
7,0.0175,c007,edge-6,32619.05833333333,0.14814814814814814,0.0,9.0,32619.05833333333,0.14814814814814814,0.0,-0.0,9.0,32628.20648148148
8,0.02,c008,edge-8,32621.17083333333,0.16782407407407407,0.0,10.0,32621.17083333333,0.16782407407407407,0.0,-0.0,10.0,32631.338657407403
9,0.0225,c009,edge-6,50568.48333333334,0.20659722222222218,28.0,13.0,50568.48333333334,0.20659722222222218,5.6000000000000005,-5.6000000000000005,13.0,50576.08993055556
10,0.025,c010,edge-3,57534.80000000001,0.224537037037037,28.0,16.0,57534.80000000001,0.224537037037037,5.6000000000000005,-5.6000000000000005,16.0,57545.42453703705
11,0.0275,c011,edge-3,64077.20000000002,0.25405092592592593,28.0,21.0,64077.20000000002,0.25405092592592593,5.6000000000000005,-5.6000000000000005,21.0,64092.85405092595
12,0.03,c012,edge-6,64077.20000000002,0.2974537037037038,1051.0,26.0,64077.20000000002,0.2974537037037038,210.20000000000002,-210.20000000000002,26.0,63893.29745370372
13,0.0325,c013,edge-3,64077.20000000002,0.2974537037037037,1283.0,33.0,64077.20000000002,0.2974537037037037,256.6,-256.6,33.0,63853.89745370372
14,0.035,c014,edge-7,71519.60000000002,0.3119212962962963,1283.0,36.0,71519.60000000002,0.3119212962962963,256.6,-256.6,36.0,71299.3119212963
15,0.0375,c015,edge-4,71519.60000000002,0.30787037037037035,2306.0,41.0,71519.60000000002,0.30787037037037035,461.20000000000005,-461.20000000000005,41.0,71099.70787037039
16,0.04,c016,edge-2,75461.60000000002,0.31712962962962965,2306.0,44.0,75461.60000000002,0.31712962962962965,461.20000000000005,-461.20000000000005,44.0,75044.71712962966
17,0.0425,c017,edge-5,84455.40000000001,0.3333333333333333,2307.0,47.0,84455.40000000001,0.3333333333333333,461.40000000000003,-461.40000000000003,47.0,84041.33333333334
18,0.045,c018,edge-5,91148.00000000001,0.34837962962962965,2308.0,52.0,91148.00000000001,0.34837962962962965,461.6,-461.6,52.0,90738.74837962964
19,0.0475,c019,edge-1,91641.06666666668,0.3900462962962963,2308.0,53.0,91641.06666666668,0.3900462962962963,461.6,-461.6,53.0,91232.85671296297
20,0.05,c020,edge-8,96229.40416666667,0.4195601851851852,2308.0,56.0,96229.40416666667,0.4195601851851852,461.6,-461.6,56.0,95824.22372685185
21,0.0525,c021,edge-5,107324.33750000001,0.44849537037037035,2308.0,63.0,107324.33750000001,0.44849537037037035,461.6,-461.6,63.0,106926.18599537037
22,0.055,c022,edge-2,107324.33750000001,0.46701388888888884,3331.0,68.0,107324.33750000001,0.46701388888888884,666.2,-666.2,68.0,106726.6045138889
23,0.0575,c023,edge-5,124696.00416666667,0.4699074074074074,3378.0,77.0,124696.00416666667,0.4699074074074074,675.6,-675.6,77.0,124097.87407407406
