trial,wan,policy,mean,p95,registry,peer,accepted,excluded
7,30,p2p_coalesce,241.2140678892339,333.0739886463844,9452.0,6715.0,124,76
7,30,p2p_priority,224.78575218147284,317.01552579365074,9452.0,6715.0,124,76
7,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
7,100,p2p_coalesce,75.2640976775692,112.75586010245624,9452.0,6715.0,124,76
7,100,p2p_priority,70.65931896031944,102.52380164774829,9654.0,6513.0,124,76
8,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
8,10,p2p_coalesce,714.8174322413619,956.079016392668,9452.0,6715.0,124,76
8,10,p2p_priority,667.8889362928116,929.9543353174602,9452.0,6715.0,124,76
8,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
8,30,p2p_coalesce,241.21329475145632,333.0737542419682,9452.0,6715.0,124,76
8,30,p2p_priority,224.76066384003218,316.9842604497354,9452.0,6715.0,124,76
8,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
8,100,p2p_coalesce,75.26758831269663,112.77246635540678,9452.0,6715.0,124,76
8,100,p2p_priority,70.62821101623526,102.44693010784653,9654.0,6513.0,124,76
9,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
9,10,p2p_coalesce,714.8176535050628,956.0782638888887,9452.0,6715.0,124,76
9,10,p2p_priority,667.9928292566268,929.7065806878306,9452.0,6715.0,124,76
9,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
9,30,p2p_coalesce,241.2140678892339,333.0739886463844,9452.0,6715.0,124,76
9,30,p2p_priority,224.78991017842924,317.0723174603173,9452.0,6715.0,124,76
9,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
9,100,p2p_coalesce,75.26477798222095,112.75861042837553,9452.0,6715.0,124,76
9,100,p2p_priority,70.6408281673443,102.48715790999954,9654.0,6513.0,124,76
10,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
10,10,p2p_coalesce,714.8930875639517,956.2611924603174,9452.0,6715.0,124,76
10,10,p2p_priority,667.8669428473057,929.7848511904762,9452.0,6715.0,124,76
10,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
10,30,p2p_coalesce,241.24135753384508,333.16433634626685,9452.0,6715.0,124,76
10,30,p2p_priority,224.7455841301842,316.9630670634921,9452.0,6715.0,124,76
10,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
10,100,p2p_coalesce,75.30093254964235,112.81484114411607,9452.0,6715.0,124,76
10,100,p2p_priority,70.73185377872264,102.51741601386433,9654.0,6513.0,124,76
11,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
11,10,p2p_coalesce,714.8174322413619,956.079016392668,9452.0,6715.0,124,76
11,10,p2p_priority,667.9883350193676,930.5928174603175,9452.0,6715.0,124,76
11,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
11,30,p2p_coalesce,241.21329475145632,333.0737542419682,9452.0,6715.0,124,76
11,30,p2p_priority,224.83188942598989,318.18852956349207,9452.0,6715.0,124,76
11,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
11,100,p2p_coalesce,75.26853424580555,112.77629056025552,9452.0,6715.0,124,76
11,100,p2p_priority,69.9481158170385,101.95588671203215,9654.0,6513.0,124,76
12,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
12,10,p2p_coalesce,714.8176535050628,956.0782638888887,9452.0,6715.0,124,76
12,10,p2p_priority,667.8405466038713,929.7747949735451,9452.0,6715.0,124,76
12,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
12,30,p2p_coalesce,241.2140678892339,333.0739886463844,9452.0,6715.0,124,76
12,30,p2p_priority,224.7587361617809,317.05325760582,9452.0,6715.0,124,76
12,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
12,100,p2p_coalesce,75.26477798222095,112.75861042837553,9452.0,6715.0,124,76
12,100,p2p_priority,70.73935091735609,102.52746079288733,9654.0,6513.0,124,76
13,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
13,10,p2p_coalesce,714.8172657667079,956.077516392668,9452.0,6715.0,124,76
13,10,p2p_priority,668.1238261782089,930.9898809523812,9452.0,6715.0,124,76
13,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
13,30,p2p_coalesce,241.2129987165102,333.07200424196805,9452.0,6715.0,124,76
13,30,p2p_priority,224.8997887884381,318.05838723544974,9452.0,6715.0,124,76
13,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
13,100,p2p_coalesce,75.34968164487985,113.06850342074716,9452.0,6715.0,124,76
13,100,p2p_priority,70.6767421590418,102.5395856251442,9654.0,6513.0,124,76
14,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
14,10,p2p_coalesce,714.8174322413619,956.079016392668,9452.0,6715.0,124,76
14,10,p2p_priority,668.0870825652845,930.9987638888889,9452.0,6715.0,124,76
14,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
14,30,p2p_coalesce,241.21329475145632,333.0737542419682,9452.0,6715.0,124,76
14,30,p2p_priority,224.8802397875777,318.03918333333337,9452.0,6715.0,124,76
14,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
14,100,p2p_coalesce,75.34907186397523,113.06672001563645,9452.0,6715.0,124,76
14,100,p2p_priority,70.66656586620948,102.52953610203043,9654.0,6513.0,124,76
15,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
15,10,p2p_coalesce,714.8172657667079,956.077516392668,9452.0,6715.0,124,76
15,10,p2p_priority,667.9820544988956,930.5246031746032,9452.0,6715.0,124,76
15,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
15,30,p2p_coalesce,241.2129987165102,333.07200424196805,9452.0,6715.0,124,76
15,30,p2p_priority,224.84299864866023,318.19354285714286,9452.0,6715.0,124,76
15,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
15,100,p2p_coalesce,75.26721247076975,112.76897176438828,9452.0,6715.0,124,76
15,100,p2p_priority,70.64400480630292,102.48726040308262,9654.0,6513.0,124,76
16,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
16,10,p2p_coalesce,714.8176535050628,956.0782638888887,9452.0,6715.0,124,76
16,10,p2p_priority,668.0273043448115,930.0918802910055,9452.0,6715.0,124,76
16,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
16,30,p2p_coalesce,241.2140678892339,333.0739886463844,9452.0,6715.0,124,76
16,30,p2p_priority,224.80860649012197,316.8984123015874,9452.0,6715.0,124,76
16,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
16,100,p2p_coalesce,75.34876102830329,113.09317405874292,9452.0,6715.0,124,76
16,100,p2p_priority,70.66915132729302,102.55185969750082,9654.0,6513.0,124,76
17,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
17,10,p2p_coalesce,714.8931090693292,956.2615353174601,9452.0,6715.0,124,76
17,10,p2p_priority,667.9625583637356,929.9959818121692,9452.0,6715.0,124,76
17,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
17,30,p2p_coalesce,241.2412823162313,333.1643950764256,9452.0,6715.0,124,76
17,30,p2p_priority,224.7675658049047,316.90000128472224,9452.0,6715.0,124,76
17,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
17,100,p2p_coalesce,75.30111001665728,112.81671605238164,9452.0,6715.0,124,76
17,100,p2p_priority,70.66336068371776,102.52537646454621,9654.0,6513.0,124,76
18,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
18,10,p2p_coalesce,714.8931779661839,956.2618972222223,9452.0,6715.0,124,76
18,10,p2p_priority,667.9434775225624,931.0047585978834,9452.0,6715.0,124,76
18,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
18,30,p2p_coalesce,241.24141890286913,333.16504760435043,9452.0,6715.0,124,76
18,30,p2p_priority,224.81392042954468,318.05883105158733,9452.0,6715.0,124,76
18,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
18,100,p2p_coalesce,75.30137147912914,112.81727116036332,9452.0,6715.0,124,76
18,100,p2p_priority,70.66796846995915,102.46652521901363,9654.0,6513.0,124,76
19,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
19,10,p2p_coalesce,714.8174871904191,956.0767638888885,9452.0,6715.0,124,76
19,10,p2p_priority,668.0021140686339,929.9603640873019,9452.0,6715.0,124,76
19,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
19,30,p2p_coalesce,241.21377201429797,333.07223864638445,9452.0,6715.0,124,76
19,30,p2p_priority,224.79872945799178,316.8952029761904,9452.0,6715.0,124,76
19,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
19,100,p2p_coalesce,75.26477798222095,112.75861042837553,9452.0,6715.0,124,76
19,100,p2p_priority,70.6637365221821,102.52130564863793,9654.0,6513.0,124,76
20,10,cloud_fifo,942.4008064516119,1573.199999999999,16167.0,0.0,124,76
20,10,p2p_coalesce,714.8931090693292,956.2615353174601,9452.0,6715.0,124,76
20,10,p2p_priority,668.0004040791949,929.7270436507941,9452.0,6715.0,124,76
20,30,cloud_fifo,314.133602150538,524.4,16167.0,0.0,124,76
20,30,p2p_coalesce,241.2412823162313,333.1643950764256,9452.0,6715.0,124,76
20,30,p2p_priority,224.8071596716591,317.02193420634916,9452.0,6715.0,124,76
20,100,cloud_fifo,94.27520161290315,157.4599999999998,16167.0,0.0,124,76
20,100,p2p_coalesce,75.30111001665728,112.81671605238164,9452.0,6715.0,124,76
20,100,p2p_priority,70.64269094743504,102.50580784219574,9654.0,6513.0,124,76
