label,file,cycle,phase1_label,potential,fragmented_cpu,fragmented_mem,fragmented_disk,active_nodes,idle_nodes
baseline,result_200.json,0,greedy_init,356141320.8317101,0.0,0.0,0.0,5,3
baseline,result_200.json,1,best_response_round_1,356141320.8317101,0.0,0.0,0.0,5,3
light,result_200_light.json,0,greedy_init,441961101.065874,0.0,0.0,0.0,7,1
light,result_200_light.json,1,best_response_round_1,441961101.065874,0.0,0.0,0.0,7,1
mid,result_200_mid.json,0,greedy_init,509804690.00727654,0.0,0.0,0.0,8,0
mid,result_200_mid.json,1,best_response_round_1,509804690.00727654,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,0,greedy_init,471008694.36257374,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,1,perturb_rebalance_round_1,490781176.0327369,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,2,block_move_round_2,486742002.5500102,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,3,block_move_round_3,484449466.34539425,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,4,perturb_rebalance_round_4,491980989.43869305,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,5,block_move_round_5,489778537.16494846,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,6,block_move_round_6,482274826.01970744,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,7,perturb_rebalance_round_7,539165427.4161552,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,8,block_move_round_8,539011569.9196807,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,9,move_round_9,539054760.5919052,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,10,move_round_10,539177999.8184439,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,11,move_round_11,539381276.7503092,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,12,perturb_rebalance_round_12,568890092.1096884,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,13,block_move_round_13,568038493.3452148,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,14,block_move_round_14,556091049.8594581,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,15,perturb_rebalance_round_15,585438061.6404388,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,16,block_move_round_16,585280880.0181909,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,17,move_round_17,585322379.0783575,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,18,move_round_18,585443915.5506587,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,19,move_round_19,585645481.7368823,0.0,0.0,0.0,8,0
mid2,result_200_mid2.json,20,perturb_rebalance_round_20,610006515.3473489,0.0,0.0,0.0,8,0
tuned,result_200_tuned.json,0,greedy_init,692344977.2298157,0.0,0.0,0.0,8,0
tuned,result_200_tuned.json,1,best_response_round_1,692344977.2298157,0.0,0.0,0.0,8,0
