label,file,algo,num_containers,num_nodes,ACT,AMS,downloaded_mb,reused_mb,reuse_rate,objective
baseline,result_200.json,FG-DSCR,200,8,2030.635,2061.6875,110495,2072893,0.9493928701632509,2046.16125
light,result_200_light.json,FG-DSCR,200,8,1942.6535000000001,2643.4249999999997,137525,2045863,0.9370130274600758,2293.03925
mid,result_200_mid.json,FG-DSCR,200,8,1854.4380000000008,2777.475,142138,2041250,0.9349002559325232,2315.9565000000002
mid2,result_200_mid2.json,FG-DSCR,200,8,2096.6085,3308.45,167391,2015997,0.9233342859812365,2702.5292499999996
tuned,result_200_tuned.json,FG-DSCR,200,8,1924.1260000000004,2823.5,144829,2038559,0.9336677677078009,2373.813
