label,file,round,step_reuse_mb_global,step_downloaded_mb_global,cumulative_reuse_mb_global,cumulative_downloaded_mb_global,active_nodes
baseline,result_200.json,1,0,38576,0,38576,5
baseline,result_200.json,2,38576,0,38576,38576,5
baseline,result_200.json,3,38576,0,77152,38576,5
baseline,result_200.json,4,38576,0,115728,38576,5
baseline,result_200.json,5,38576,0,154304,38576,5
baseline,result_200.json,6,38576,0,192880,38576,5
baseline,result_200.json,7,37196,11924,230076,50500,5
baseline,result_200.json,8,47767,3720,277843,54220,5
baseline,result_200.json,9,51487,0,329330,54220,5
baseline,result_200.json,10,51487,0,380817,54220,5
baseline,result_200.json,11,51487,0,432304,54220,5
baseline,result_200.json,12,51487,0,483791,54220,5
baseline,result_200.json,13,49907,9400,533698,63620,5
baseline,result_200.json,14,59307,0,593005,63620,5
baseline,result_200.json,15,54864,4655,647869,68275,5
baseline,result_200.json,16,59519,0,707388,68275,5
baseline,result_200.json,17,59519,0,766907,68275,5
baseline,result_200.json,18,59519,0,826426,68275,5
baseline,result_200.json,19,49479,7200,875905,75475,5
baseline,result_200.json,20,56679,0,932584,75475,5
baseline,result_200.json,21,56679,0,989263,75475,5
baseline,result_200.json,22,54250,1750,1043513,77225,5
baseline,result_200.json,23,56000,0,1099513,77225,5
baseline,result_200.json,24,56000,0,1155513,77225,5
baseline,result_200.json,25,44942,17720,1200455,94945,5
baseline,result_200.json,26,62662,0,1263117,94945,5
baseline,result_200.json,27,62662,0,1325779,94945,5
baseline,result_200.json,28,62662,0,1388441,94945,5
baseline,result_200.json,29,60106,4500,1448547,99445,5
baseline,result_200.json,30,64606,0,1513153,99445,5
baseline,result_200.json,31,64522,7600,1577675,107045,5
baseline,result_200.json,32,64680,0,1642355,107045,5
baseline,result_200.json,33,64530,0,1706885,107045,5
baseline,result_200.json,34,64680,0,1771565,107045,5
baseline,result_200.json,35,64530,0,1836095,107045,5
baseline,result_200.json,36,61080,3450,1897175,110495,5
baseline,result_200.json,37,44440,0,1941615,110495,4
baseline,result_200.json,38,44290,0,1985905,110495,4
baseline,result_200.json,39,21822,0,2007727,110495,3
baseline,result_200.json,40,21672,0,2029399,110495,3
baseline,result_200.json,41,21822,0,2051221,110495,3
baseline,result_200.json,42,21672,0,2072893,110495,3
light,result_200_light.json,1,0,65196,0,65196,7
light,result_200_light.json,2,65196,0,65196,65196,7
light,result_200_light.json,3,65196,0,130392,65196,7
light,result_200_light.json,4,65196,0,195588,65196,7
light,result_200_light.json,5,65196,0,260784,65196,7
light,result_200_light.json,6,65196,0,325980,65196,7
light,result_200_light.json,7,63732,21750,389712,86946,7
light,result_200_light.json,8,84371,11320,474083,98266,7
light,result_200_light.json,9,95691,0,569774,98266,7
light,result_200_light.json,10,95691,0,665465,98266,7
light,result_200_light.json,11,95691,0,761156,98266,7
light,result_200_light.json,12,95691,0,856847,98266,7
light,result_200_light.json,13,93613,15204,950460,113470,7
light,result_200_light.json,14,108817,0,1059277,113470,7
light,result_200_light.json,15,74468,4954,1133745,118424,6
light,result_200_light.json,16,79422,0,1213167,118424,6
light,result_200_light.json,17,79422,0,1292589,118424,6
light,result_200_light.json,18,79422,0,1372011,118424,6
light,result_200_light.json,19,44150,7200,1416161,125624,4
light,result_200_light.json,20,51350,0,1467511,125624,4
light,result_200_light.json,21,51350,0,1518861,125624,4
light,result_200_light.json,22,48914,2301,1567775,127925,4
light,result_200_light.json,23,51215,0,1618990,127925,4
light,result_200_light.json,24,51215,0,1670205,127925,4
light,result_200_light.json,25,20725,0,1690930,127925,3
light,result_200_light.json,26,20725,0,1711655,127925,3
light,result_200_light.json,27,20725,0,1732380,127925,3
light,result_200_light.json,28,20725,0,1753105,127925,3
light,result_200_light.json,29,17322,4650,1770427,132575,3
light,result_200_light.json,30,21972,0,1792399,132575,3
light,result_200_light.json,31,21822,0,1814221,132575,3
light,result_200_light.json,32,21972,0,1836193,132575,3
light,result_200_light.json,33,21822,0,1858015,132575,3
light,result_200_light.json,34,21972,0,1879987,132575,3
light,result_200_light.json,35,21822,0,1901809,132575,3
light,result_200_light.json,36,12551,1650,1914360,134225,2
light,result_200_light.json,37,14351,0,1928711,134225,2
light,result_200_light.json,38,14201,0,1942912,134225,2
light,result_200_light.json,39,14351,0,1957263,134225,2
light,result_200_light.json,40,14201,0,1971464,134225,2
light,result_200_light.json,41,14351,0,1985815,134225,2
light,result_200_light.json,42,14201,0,2000016,134225,2
light,result_200_light.json,43,3721,3300,2003737,137525,1
light,result_200_light.json,44,7021,0,2010758,137525,1
light,result_200_light.json,45,7021,0,2017779,137525,1
light,result_200_light.json,46,7021,0,2024800,137525,1
light,result_200_light.json,47,7021,0,2031821,137525,1
light,result_200_light.json,48,7021,0,2038842,137525,1
light,result_200_light.json,49,7021,0,2045863,137525,1
mid,result_200_mid.json,1,0,74689,0,74689,8
mid,result_200_mid.json,2,74689,0,74689,74689,8
mid,result_200_mid.json,3,74689,0,149378,74689,8
mid,result_200_mid.json,4,74689,0,224067,74689,8
mid,result_200_mid.json,5,74689,0,298756,74689,8
mid,result_200_mid.json,6,74689,0,373445,74689,8
mid,result_200_mid.json,7,73309,11924,446754,86613,8
mid,result_200_mid.json,8,70377,11320,517131,97933,6
mid,result_200_mid.json,9,81697,0,598828,97933,6
mid,result_200_mid.json,10,81697,0,680525,97933,6
mid,result_200_mid.json,11,81697,0,762222,97933,6
mid,result_200_mid.json,12,81697,0,843919,97933,6
mid,result_200_mid.json,13,80117,9400,924036,107333,6
mid,result_200_mid.json,14,89517,0,1013553,107333,6
mid,result_200_mid.json,15,54864,4955,1068417,112288,5
mid,result_200_mid.json,16,59819,0,1128236,112288,5
mid,result_200_mid.json,17,59819,0,1188055,112288,5
mid,result_200_mid.json,18,59819,0,1247874,112288,5
mid,result_200_mid.json,19,49779,7200,1297653,119488,5
mid,result_200_mid.json,20,56979,0,1354632,119488,5
mid,result_200_mid.json,21,56979,0,1411611,119488,5
mid,result_200_mid.json,22,54547,2450,1466158,121938,5
mid,result_200_mid.json,23,56997,0,1523155,121938,5
mid,result_200_mid.json,24,56997,0,1580152,121938,5
mid,result_200_mid.json,25,25349,8100,1605501,130038,4
mid,result_200_mid.json,26,33449,0,1638950,130038,4
mid,result_200_mid.json,27,33449,0,1672399,130038,4
mid,result_200_mid.json,28,33449,0,1705848,130038,4
mid,result_200_mid.json,29,24225,2850,1730073,132888,3
mid,result_200_mid.json,30,27075,0,1757148,132888,3
mid,result_200_mid.json,31,26991,7600,1784139,140488,3
mid,result_200_mid.json,32,34741,0,1818880,140488,3
mid,result_200_mid.json,33,34591,0,1853471,140488,3
mid,result_200_mid.json,34,34741,0,1888212,140488,3
mid,result_200_mid.json,35,34591,0,1922803,140488,3
mid,result_200_mid.json,36,32791,1650,1955594,142138,3
mid,result_200_mid.json,37,14351,0,1969945,142138,2
mid,result_200_mid.json,38,14201,0,1984146,142138,2
mid,result_200_mid.json,39,14351,0,1998497,142138,2
mid,result_200_mid.json,40,14201,0,2012698,142138,2
mid,result_200_mid.json,41,14351,0,2027049,142138,2
mid,result_200_mid.json,42,14201,0,2041250,142138,2
