label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_200.json,FG-DSCR,c108,default,edge-3,1,0.0,641.1,641.1,658.1,17.0,0,6411
baseline,result_200.json,FG-DSCR,c048,default,edge-3,2,658.1,0.0,658.1,675.1,17.0,6411,0
baseline,result_200.json,FG-DSCR,c168,default,edge-3,3,675.1,0.0,675.1,692.1,17.0,6411,0
baseline,result_200.json,FG-DSCR,c078,default,edge-3,4,692.1,0.0,692.1,709.1,17.0,6411,0
baseline,result_200.json,FG-DSCR,c198,default,edge-3,5,709.1,0.0,709.1,726.1,17.0,6411,0
baseline,result_200.json,FG-DSCR,c018,default,edge-3,6,726.1,0.0,726.1,743.1,17.0,6411,0
baseline,result_200.json,FG-DSCR,c138,default,edge-3,7,743.1,0.0,743.1,760.1,17.0,6411,0
baseline,result_200.json,FG-DSCR,c167,default,edge-3,8,760.1,135.0,895.1,909.1,14.0,6410,1350
baseline,result_200.json,FG-DSCR,c197,default,edge-3,9,909.1,0.0,909.1,923.1,14.0,7760,0
baseline,result_200.json,FG-DSCR,c077,default,edge-3,10,923.1,0.0,923.1,937.1,14.0,7760,0
baseline,result_200.json,FG-DSCR,c047,default,edge-3,11,937.1,0.0,937.1,951.1,14.0,7760,0
baseline,result_200.json,FG-DSCR,c137,default,edge-3,12,951.1,0.0,951.1,965.1,14.0,7760,0
baseline,result_200.json,FG-DSCR,c107,default,edge-3,13,965.1,0.0,965.1,979.1,14.0,7760,0
baseline,result_200.json,FG-DSCR,c017,default,edge-3,14,979.1,0.0,979.1,993.1,14.0,7760,0
baseline,result_200.json,FG-DSCR,c104,default,edge-3,15,993.1,150.4,1143.5,1160.5,17.0,5690,1504
baseline,result_200.json,FG-DSCR,c164,default,edge-3,16,1160.5,0.0,1160.5,1177.5,17.0,7194,0
baseline,result_200.json,FG-DSCR,c194,default,edge-3,17,1177.5,0.0,1177.5,1194.5,17.0,7194,0
baseline,result_200.json,FG-DSCR,c074,default,edge-3,18,1194.5,0.0,1194.5,1211.5,17.0,7194,0
baseline,result_200.json,FG-DSCR,c044,default,edge-3,19,1211.5,0.0,1211.5,1228.5,17.0,7194,0
baseline,result_200.json,FG-DSCR,c014,default,edge-3,20,1228.5,0.0,1228.5,1245.5,17.0,7194,0
baseline,result_200.json,FG-DSCR,c134,default,edge-3,21,1245.5,0.0,1245.5,1262.5,17.0,7194,0
baseline,result_200.json,FG-DSCR,c195,default,edge-3,22,1262.5,0.0,1262.5,1282.5,20.0,6414,0
baseline,result_200.json,FG-DSCR,c165,default,edge-3,23,1282.5,0.0,1282.5,1302.5,20.0,6414,0
baseline,result_200.json,FG-DSCR,c075,default,edge-3,24,1302.5,0.0,1302.5,1322.5,20.0,6414,0
baseline,result_200.json,FG-DSCR,c015,default,edge-3,25,1322.5,0.0,1322.5,1342.5,20.0,6414,0
baseline,result_200.json,FG-DSCR,c135,default,edge-3,26,1342.5,0.0,1342.5,1362.5,20.0,6414,0
