label,file,node_id,num_containers_on_node
baseline,result_200.json,edge-1,0
baseline,result_200.json,edge-2,0
baseline,result_200.json,edge-3,42
baseline,result_200.json,edge-4,38
baseline,result_200.json,edge-5,0
baseline,result_200.json,edge-6,36
baseline,result_200.json,edge-7,42
baseline,result_200.json,edge-8,42
light,result_200_light.json,edge-1,0
light,result_200_light.json,edge-2,35
light,result_200_light.json,edge-3,14
light,result_200_light.json,edge-4,24
light,result_200_light.json,edge-5,18
light,result_200_light.json,edge-6,18
light,result_200_light.json,edge-7,49
light,result_200_light.json,edge-8,42
mid,result_200_mid.json,edge-1,7
mid,result_200_mid.json,edge-2,28
mid,result_200_mid.json,edge-3,14
mid,result_200_mid.json,edge-4,24
mid,result_200_mid.json,edge-5,7
mid,result_200_mid.json,edge-6,36
mid,result_200_mid.json,edge-7,42
mid,result_200_mid.json,edge-8,42
mid2,result_200_mid2.json,edge-1,23
mid2,result_200_mid2.json,edge-2,26
mid2,result_200_mid2.json,edge-3,21
mid2,result_200_mid2.json,edge-4,24
mid2,result_200_mid2.json,edge-5,25
mid2,result_200_mid2.json,edge-6,25
mid2,result_200_mid2.json,edge-7,28
mid2,result_200_mid2.json,edge-8,28
tuned,result_200_tuned.json,edge-1,7
tuned,result_200_tuned.json,edge-2,42
tuned,result_200_tuned.json,edge-3,14
tuned,result_200_tuned.json,edge-4,24
tuned,result_200_tuned.json,edge-5,14
tuned,result_200_tuned.json,edge-6,36
tuned,result_200_tuned.json,edge-7,35
tuned,result_200_tuned.json,edge-8,28
