case,num_nodes,num_domains,seed,wan_mb_s,baseline,warmup_requests,target_requests,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,same_domain_peer_mb,cross_domain_peer_mb,p2p_offload_pct,peak_link_utilization,p95_link_utilization,wan_busy_time_s,evicted_mb,refused_cache_mb,algorithm_runtime_ms
cider_nodes20_domains4_req400_weak,20,4,1,10.0,registry,200,200,200,0,655.236412043401,1822.3368603931522,1881.2285000000036,18812.0,0.0,0.0,0.0,0.0,1.0,0.01669727834362999,1881.2000000000037,16147.0,0.0,563.8891905546188
cider_nodes20_domains4_req400_weak,20,4,1,10.0,dragonfly_style,200,200,200,0,61.54260201687407,247.19837198910565,306.8285000000006,3068.0,15744.0,6361.0,9383.0,83.6912608972996,1.0,0.3438614285714286,306.8000000000006,18344.0,1774.0,659.7689837217331
cider_nodes20_domains4_req400_weak,20,4,1,10.0,peersync_style,200,200,200,0,54.04532557853818,224.01026600142328,281.3285000000006,2813.0,15999.0,7698.0,8301.0,85.0467786519243,1.0,0.3572385714285714,281.3000000000006,17719.0,1774.0,729.3267920613289
cider_nodes20_domains4_req400_weak,20,4,1,10.0,metapipe_reactive_style,200,200,200,0,54.57612663279989,230.60191033604016,287.1285000000005,2871.0,15941.0,8413.0,7528.0,84.73846480969594,1.0,0.36081,287.1000000000005,17569.0,887.0,670.7310676574707
cider_nodes20_domains4_req400_weak,20,4,1,10.0,ilrsa_style,200,200,200,0,808.9627709426451,1773.4581260288128,1881.228500000001,18812.0,0.0,0.0,0.0,0.0,1.0,0.015084093823063579,1881.2000000000012,17103.0,0.0,578.7527933716774
cider_nodes20_domains4_req400_weak,20,4,1,30.0,registry,200,200,200,0,218.4129196126799,607.404715226891,627.0951666666695,18812.0,0.0,0.0,0.0,0.0,1.0,0.050091835030889965,627.0666666666694,16147.0,0.0,536.0265150666237
cider_nodes20_domains4_req400_weak,20,4,1,30.0,dragonfly_style,200,200,200,0,22.237186999531776,83.21593217927054,94.8951666666666,2846.0,15966.0,5917.0,10049.0,84.87135870720816,1.0,0.9999999999999998,94.86666666666659,16744.0,1774.0,738.4695336222649
cider_nodes20_domains4_req400_weak,20,4,1,30.0,peersync_style,200,200,200,0,22.80605084437197,83.25029500234365,98.1618333333333,2944.0,15868.0,6169.0,9699.0,84.35041462896024,1.0,0.9268313181456537,98.13333333333331,17036.0,1774.0,821.668729186058
cider_nodes20_domains4_req400_weak,20,4,1,30.0,metapipe_reactive_style,200,200,200,0,22.16817870376746,79.41457521523367,91.62849999999996,2748.0,16064.0,7721.0,8343.0,85.3923027854561,1.0,0.9999999999999998,91.59999999999998,17060.0,887.0,761.3563910126686
cider_nodes20_domains4_req400_weak,20,4,1,30.0,ilrsa_style,200,200,200,0,269.6267438853525,590.791603266462,627.0951666666668,18812.0,0.0,0.0,0.0,0.0,1.0,0.04525228146919074,627.0666666666668,17103.0,0.0,587.2811451554298
cider_nodes20_domains4_req400_weak,20,4,1,100.0,registry,200,200,200,0,65.53145923192059,182.1964549117592,188.33793546807064,18812.0,0.0,0.0,0.0,0.0,1.0,0.17038968120090647,188.30943546807063,16147.0,0.0,532.9170450568199
cider_nodes20_domains4_req400_weak,20,4,1,100.0,dragonfly_style,200,200,200,0,14.44928253707202,44.28155198697049,52.15008748317218,2789.0,16023.0,5408.0,10615.0,85.17435679353603,1.0,1.0,38.54002928505389,15558.0,1774.0,809.1948851943016
cider_nodes20_domains4_req400_weak,20,4,1,100.0,peersync_style,200,200,200,0,15.518398672695048,51.21330963689477,55.612220600310735,2510.0,16302.0,5362.0,10940.0,86.65745268977248,1.0,1.0,38.61208257184484,16333.0,0.0,889.4624710083008
cider_nodes20_domains4_req400_weak,20,4,1,100.0,metapipe_reactive_style,200,200,200,0,14.5731435562144,42.553797986350276,51.613399572119555,3079.0,15733.0,7039.0,8694.0,83.63278758239422,1.0,1.0,44.28844684408259,16014.0,887.0,798.8220825791359
cider_nodes20_domains4_req400_weak,20,4,1,100.0,ilrsa_style,200,200,200,0,80.88324631693699,176.85919756895044,190.07295418586267,18812.0,0.0,0.0,0.0,0.0,1.0,0.1508409382306358,190.04445418586266,17103.0,0.0,590.0588035583496
cider_nodes30_domains5_req600_weak,30,5,1,10.0,registry,300,300,300,0,711.9870034779569,2204.9548752087867,2221.6284999999975,22216.0,0.0,0.0,0.0,0.0,1.0,0.012222222222222223,2221.599999999997,18381.0,0.0,735.7355132699013
cider_nodes30_domains5_req600_weak,30,5,1,10.0,dragonfly_style,300,300,300,0,37.77585660672582,237.51761998173276,251.2107235506185,2451.0,19765.0,4554.0,15211.0,88.96741087504502,1.0,0.3314750000000001,245.0999999999999,18693.0,1774.0,1101.952150464058
cider_nodes30_domains5_req600_weak,30,5,1,10.0,peersync_style,300,300,300,0,33.17623909561115,202.01541174117466,215.61072355061867,2095.0,20121.0,6227.0,13894.0,90.56985956067699,1.0,0.39877999999999997,209.50000000000014,20580.0,0.0,1240.9327775239944
cider_nodes30_domains5_req600_weak,30,5,1,10.0,metapipe_reactive_style,300,300,300,0,44.9857231774803,258.6618570178661,272.31072355061866,2662.0,19554.0,7038.0,12516.0,88.01764494058337,1.0,0.320335,266.2000000000001,20135.0,0.0,1048.8062351942062
