label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_500.json,FG-DSCR,c324,default,edge-3,49,1655.5,0.0,1655.5,1672.5,17.0,6411,0
baseline,result_500.json,FG-DSCR,c263,default,edge-3,50,1672.5,135.0,1807.5,1821.5,14.0,6410,1350
baseline,result_500.json,FG-DSCR,c293,default,edge-3,51,1821.5,0.0,1821.5,1835.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c353,default,edge-3,52,1835.5,0.0,1835.5,1849.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c173,default,edge-3,53,1849.5,0.0,1849.5,1863.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c023,default,edge-3,54,1863.5,0.0,1863.5,1877.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c233,default,edge-3,55,1877.5,0.0,1877.5,1891.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c203,default,edge-3,56,1891.5,0.0,1891.5,1905.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c053,default,edge-3,57,1905.5,0.0,1905.5,1919.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c443,default,edge-3,58,1919.5,0.0,1919.5,1933.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c473,default,edge-3,59,1933.5,0.0,1933.5,1947.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c323,default,edge-3,60,1947.5,0.0,1947.5,1961.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c143,default,edge-3,61,1961.5,0.0,1961.5,1975.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c413,default,edge-3,62,1975.5,0.0,1975.5,1989.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c383,default,edge-3,63,1989.5,0.0,1989.5,2003.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c083,default,edge-3,64,2003.5,0.0,2003.5,2017.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c113,default,edge-3,65,2017.5,0.0,2017.5,2031.5,14.0,7760,0
baseline,result_500.json,FG-DSCR,c409,default,edge-3,66,2031.5,90.0,2121.5,2135.5,14.0,5691,900
baseline,result_500.json,FG-DSCR,c499,default,edge-3,67,2135.5,0.0,2135.5,2149.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c079,default,edge-3,68,2149.5,0.0,2149.5,2163.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c019,default,edge-3,69,2163.5,0.0,2163.5,2177.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c382,default,edge-3,70,2177.5,0.0,2177.5,2200.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c349,default,edge-3,71,2200.5,0.0,2200.5,2214.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c412,default,edge-3,72,2214.5,0.0,2214.5,2237.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c322,default,edge-3,73,2237.5,0.0,2237.5,2260.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c469,default,edge-3,74,2260.5,0.0,2260.5,2274.5,14.0,6591,0
baseline,result_500.json,FG-DSCR,c292,default,edge-3,75,2274.5,0.0,2274.5,2297.5,23.0,6441,0
