label,file,algo,num_containers,num_nodes,ACT,AMS,downloaded_mb,reused_mb,reuse_rate,objective
baseline,result_500.json,FG-DSCR,500,8,3144.7242000000006,3217.4374999999995,119175,5505199,0.97881097523031,3181.0808500000003
light,result_500_light.json,FG-DSCR,500,8,2721.2663999999995,3690.6749999999997,137525,5486849,0.9755483899185936,3205.9707
mid,result_500_mid.json,FG-DSCR,500,8,2545.5601999999994,3825.0499999999997,141250,5483124,0.9748860939901934,3185.3050999999996
mid2,result_500_mid2.json,FG-DSCR,500,8,2690.855799999999,3824.725,142138,5482236,0.9747282097527654,3257.7903999999994
tuned,result_500_tuned.json,FG-DSCR,500,8,2670.2871999999993,3993.6625,151470,5472904,0.9730690028792538,3331.9748499999996
