case,seed,split_mode,placement,num_nodes,num_case_containers,num_warmup_containers,num_target_containers,num_target_assigned,unicast_mb,mcast_mb,xor2_mb,multicast_gain,xor2_gain_over_mcast,total_saving_vs_unicast,coding_density,num_reciprocal_edges,reciprocal_node_pair_rate,strict_xor2_matching_pairs,strict_xor2_saving_mb,peer_coverage_ratio,avg_cache_jaccard,cache_heterogeneity,cache_byte_heterogeneity
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json,1,random,fg_dscr,8,200,100,100,100,7110.0,4968.0,4968.0,0.3012658227848101,0.0,0.3012658227848101,0.0,0,0.0,0,0.0,0.06919831223628692,0.04247623656038401,0.957523763439616,0.9639432435756584
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json,2,random,fg_dscr,8,200,100,100,100,8506.0,6086.0,6085.0,0.28450505525511405,0.00016431153466973383,0.2846226193275335,0.001996007984031936,28,0.10714285714285714,1,1.0,0.18481072184340466,0.024790705699275124,0.9752092943007249,0.9803777667728896
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json,3,random,fg_dscr,8,200,100,100,100,7995.0,5950.0,5950.0,0.2557848655409631,0.0,0.2557848655409631,0.0,0,0.0,0,0.0,0.16235146966854283,0.02904218559405696,0.9709578144059431,0.9828027305728646
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json,1,random,round_robin,8,200,100,100,100,27490.0,9165.0,9039.0,0.6666060385594762,0.013747954173486088,0.6711895234630775,0.02061193550555253,2760,0.7857142857142857,7,126.0,0.45554747180793015,0.04247623656038401,0.957523763439616,0.9639432435756584
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json,2,random,round_robin,8,200,100,100,100,28920.0,9687.0,9686.0,0.6650414937759336,0.00010323113451016826,0.6650760719225449,0.011372743831760226,1717,0.8571428571428571,1,1.0,0.4195020746887967,0.024790705699275124,0.9752092943007249,0.9803777667728896
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_200.json,3,random,round_robin,8,200,100,100,100,26262.0,8891.0,8891.0,0.6614500038077831,0.0,0.6614500038077831,0.009072689849420432,1340,0.6071428571428571,0,0.0,0.42757596527301805,0.02904218559405696,0.9709578144059431,0.9828027305728646
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json,1,random,fg_dscr,8,500,250,250,250,11394.0,9236.0,9111.0,0.18939792873442163,0.013533997401472498,0.2003686150605582,0.008590895625555445,261,0.10714285714285714,18,125.0,0.20414253115674916,0.03030755730661852,0.9696924426933815,0.9743281903064902
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json,2,random,fg_dscr,8,500,250,250,250,9286.0,8050.0,7982.0,0.13310359681240577,0.0084472049689441,0.14042644841697177,0.0023664638269100743,49,0.14285714285714285,5,68.0,0.3180055998276976,0.03149933393522766,0.9685006660647724,0.9738568227278968
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json,3,random,fg_dscr,8,500,250,250,250,10866.0,8632.0,8585.0,0.20559543530277932,0.0054448563484708066,0.20992085404012517,0.0012300123001230013,45,0.14285714285714285,3,47.0,0.20421498251426468,0.027186388535370403,0.9728136114646296,0.9820647307541358
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json,1,random,round_robin,8,500,250,250,250,43663.0,11282.0,11266.0,0.7416118910748231,0.0014181882644921113,0.741978334058585,0.01336866313368663,8022,0.9285714285714286,12,16.0,0.32301949018619885,0.03030755730661852,0.9696924426933815,0.9743281903064902
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json,2,random,round_robin,8,500,250,250,250,44675.0,11685.0,11676.0,0.7384443200895355,0.0007702182284980744,0.7386457750419698,0.016523165592609548,11261,1.0,4,9.0,0.4707106883044208,0.03149933393522766,0.9685006660647724,0.9738568227278968
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_500.json,3,random,round_robin,8,500,250,250,250,44626.0,11857.0,11835.0,0.7343028727647559,0.0018554440414944758,0.7347958589163268,0.011144012883641453,7937,1.0,2,22.0,0.3386366692062923,0.027186388535370403,0.9728136114646296,0.9820647307541358
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json,1,random,fg_dscr,8,1000,500,500,500,12463.0,9545.0,9541.0,0.23413303377998876,0.00041906757464641174,0.2344539837920244,0.0008698752228163993,61,0.14285714285714285,1,4.0,0.2850036106876354,0.02300652586120756,0.9769934741387925,0.9857408814493487
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json,2,random,fg_dscr,8,1000,500,500,500,11892.0,9520.0,9479.0,0.1994618230743357,0.0043067226890756306,0.20290951900437268,0.0058860461466017895,225,0.07142857142857142,11,41.0,0.0994786411032627,0.033018922629008685,0.9669810773709913,0.9618718192483486
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json,3,random,fg_dscr,8,1000,500,500,500,10803.0,8152.0,8081.0,0.24539479774136813,0.008709519136408243,0.2519670461908729,0.00311929649908744,94,0.07142857142857142,10,71.0,0.14514486716652783,0.028773035139382758,0.9712269648606172,0.9798618407162789
cases/drtp_cache_only_sweep_88/drtp_img88_cacheonly_1024mb_1000.json,1,random,round_robin,8,1000,500,500,500,64588.0,12693.0,12618.0,0.8034774261472719,0.00590876861262113,0.8046386325633245,0.014133434133434134,26173,1.0,8,75.0,0.37428005202204745,0.02300652586120756,0.9769934741387925,0.9857408814493487
