case,base_requests,target_requests,seed,cache_scale,wan_mb_s,policy,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,total_transfer_mb,evicted_mb,refused_cache_mb,max_lease_mb
drtp_img88_cacheonly_1024mb_200,200,100,6,0.5,10.0,c_lru,93,7,613.9144542538976,1209.0,1297.7,12977.0,4125.0,17102.0,10721.0,6981.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,0.5,10.0,d_lease,93,7,585.8671616227882,1169.2,1257.9,12579.0,4523.0,17102.0,10867.0,6981.0,239.0
drtp_img88_cacheonly_1024mb_200,200,100,6,0.5,30.0,c_lru,93,7,205.03103240314815,403.00000000000006,432.5666666666667,12977.0,4125.0,17102.0,10721.0,6981.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,0.5,30.0,d_lease,93,7,195.64432237271643,389.7333333333333,419.29999999999995,12579.0,4523.0,17102.0,10867.0,6981.0,239.0
drtp_img88_cacheonly_1024mb_200,200,100,6,0.5,100.0,c_lru,93,7,63.51428773965543,133.33102137047138,144.41852137047138,12939.0,4163.0,17102.0,10698.0,6981.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,0.5,100.0,d_lease,93,7,59.831951714219755,131.9815929265142,143.0690929265142,12579.0,4523.0,17102.0,10842.0,6981.0,239.0
drtp_img88_cacheonly_1024mb_200,200,100,6,1.0,10.0,c_lru,93,7,405.1632461077806,682.0499999999998,682.0499999999998,6377.0,7420.0,13797.0,13345.0,0.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,1.0,10.0,d_lease,93,7,338.223064765034,565.2190476190476,565.2190476190476,5475.0,8322.0,13797.0,13461.0,202.0,464.0
drtp_img88_cacheonly_1024mb_200,200,100,6,1.0,30.0,c_lru,93,7,141.57233632354797,252.09749999999997,255.7933333333333,6432.0,7365.0,13797.0,13345.0,0.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,1.0,30.0,d_lease,93,7,120.27287357057507,217.552380952381,217.552380952381,5475.0,8322.0,13797.0,13461.0,202.0,464.0
drtp_img88_cacheonly_1024mb_200,200,100,6,1.0,100.0,c_lru,93,7,45.30464101904184,90.41261058637507,94.1084439197084,6432.0,7365.0,13797.0,13368.0,0.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,1.0,100.0,d_lease,93,7,40.92107379684814,89.16210373333332,92.85793706666666,5475.0,8322.0,13797.0,13190.0,202.0,464.0
drtp_img88_cacheonly_1024mb_200,200,100,6,2.0,10.0,c_lru,93,7,57.79158393781644,218.61711849647267,282.50000000000006,2825.0,5262.0,8087.0,7432.0,0.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,2.0,10.0,d_lease,93,7,46.76166839714777,164.25214285714284,192.25,1828.0,6259.0,8087.0,6996.0,0.0,778.0
drtp_img88_cacheonly_1024mb_200,200,100,6,2.0,30.0,c_lru,93,7,20.4548239947909,78.4821851090911,94.16666666666666,2825.0,5262.0,8087.0,7429.0,0.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,2.0,30.0,d_lease,93,7,17.15547530931926,60.93333333333332,70.38333333333331,1828.0,6259.0,8087.0,7055.0,0.0,778.0
drtp_img88_cacheonly_1024mb_200,200,100,6,2.0,100.0,c_lru,93,7,7.721646677351958,30.554844174989462,32.13508143997251,3130.0,4957.0,8087.0,7423.0,0.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,6,2.0,100.0,d_lease,93,7,6.973057120219995,28.28686801111391,31.351258358796294,2333.0,5754.0,8087.0,7502.0,0.0,778.0
drtp_img88_cacheonly_1024mb_200,200,100,7,0.5,10.0,c_lru,98,2,610.8799478011849,1250.8,1250.8,12508.0,2812.0,15320.0,8768.0,6647.0,0.0
