case,base_requests,target_requests,seed,cache_scale,wan_mb_s,baseline,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,total_transfer_mb,p2p_offload_pct,evicted_mb,refused_cache_mb,runtime_ms
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,10.0,registry,155,345,841.2496774193548,1384.9000000000017,1495.6000000000006,14956.0,0.0,14956.0,0.0,10990.0,4101.0,113.34622651338577
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,10.0,dragonfly_style,155,345,607.1214471454175,1123.500000000001,1212.200000000001,12122.0,2834.0,14956.0,18.948916822679863,11284.0,4101.0,128.14993411302567
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,10.0,peersync_style,155,345,540.435527009728,1006.4000000000001,1095.1000000000001,10951.0,4005.0,14956.0,26.778550414549343,10978.0,4101.0,211.12458407878876
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,10.0,metapipe_reactive_style,155,345,566.2290956221198,1130.7,1219.4,12194.0,2762.0,14956.0,18.467504680395827,10734.0,4229.0,180.26048690080643
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,10.0,ilrsa_style,155,345,1006.6683870967731,1447.899999999999,1495.5999999999954,14956.0,0.0,14956.0,0.0,10747.0,4101.0,297.380730509758
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,30.0,registry,155,345,280.416559139785,461.6333333333341,498.5333333333346,14956.0,0.0,14956.0,0.0,10990.0,4101.0,110.9132245182991
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,30.0,dragonfly_style,155,345,199.17745378904235,369.46666666666596,399.0333333333326,11971.0,2985.0,14956.0,19.95854506552554,11284.0,4101.0,133.06274265050888
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,30.0,peersync_style,155,345,178.68054947516612,323.1333333333328,352.6999999999995,10581.0,4375.0,14956.0,29.25247392350896,11038.0,4101.0,211.43966913223267
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,30.0,metapipe_reactive_style,155,345,188.6544140508905,376.9000000000001,406.46666666666675,12194.0,2762.0,14956.0,18.467504680395827,10734.0,4229.0,181.99802935123444
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,30.0,ilrsa_style,155,345,335.55612903225807,482.63333333333367,498.53333333333455,14956.0,0.0,14956.0,0.0,10747.0,4101.0,302.8058186173439
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,100.0,registry,155,345,84.1713333333332,138.4899999999996,152.73999999999984,14956.0,0.0,14956.0,0.0,10990.0,4101.0,111.3085001707077
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,100.0,dragonfly_style,155,345,60.50216743471573,116.48873015873012,127.57623015873013,12021.0,2935.0,14956.0,19.624231077828295,11133.0,4252.0,128.58841568231583
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,100.0,peersync_style,155,345,54.699037345849725,106.21433919753103,117.30183919753104,10853.0,4103.0,14956.0,27.433805830435947,11092.0,4252.0,209.33818817138672
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,100.0,metapipe_reactive_style,155,345,56.97582241188529,118.91449017192413,130.00199017192412,11978.0,2978.0,14956.0,19.911741107247927,10836.0,4229.0,185.84468960762024
drtp_img88_cacheonly_1024mb_1000,1000,500,1,0.5,100.0,ilrsa_style,155,345,100.80326881720427,144.79000000000028,152.74000000000072,14956.0,0.0,14956.0,0.0,10747.0,4101.0,298.6374571919441
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,10.0,registry,155,345,615.3974193548366,1423.2999999999952,1488.5999999999954,14886.0,0.0,14886.0,0.0,15733.0,0.0,120.7127571105957
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,10.0,dragonfly_style,155,345,394.12874244751697,763.8773809523818,838.6333333333345,8381.0,6505.0,14886.0,43.698777374714496,16167.0,0.0,132.73286074399948
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,10.0,peersync_style,155,345,355.5023955453149,587.8159523809536,604.2500000000014,5992.0,8894.0,14886.0,59.74741367728067,13620.0,225.0,250.0845417380333
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,10.0,metapipe_reactive_style,155,345,367.4241311230584,694.0694014550264,738.3725595238094,7329.0,7557.0,14886.0,50.7658202337767,15363.0,0.0,194.85465437173843
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,10.0,ilrsa_style,155,345,921.1277419354846,1485.700000000003,1488.6000000000013,14886.0,0.0,14886.0,0.0,15059.0,0.0,319.74096596241
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,30.0,registry,155,345,205.13247311827976,474.4333333333341,496.2000000000008,14886.0,0.0,14886.0,0.0,15733.0,0.0,120.0263649225235
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,30.0,dragonfly_style,155,345,130.91524235193705,248.47756243386183,273.19999999999953,8180.0,6706.0,14886.0,45.04903936584711,16167.0,0.0,135.08907705545425
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,30.0,peersync_style,155,345,119.90784747681619,211.34499541446172,212.37074938271567,5853.0,9033.0,14886.0,60.68117694478033,13571.0,225.0,253.2367706298828
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,30.0,metapipe_reactive_style,155,345,122.89397190675304,236.0396792328042,258.7141453262786,7355.0,7531.0,14886.0,50.591159478704824,15463.0,0.0,195.999376475811
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,30.0,ilrsa_style,155,345,307.0425806451615,495.23333333333403,496.20000000000124,14886.0,0.0,14886.0,0.0,15059.0,0.0,320.0415298342705
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,100.0,registry,155,345,61.560774193548305,142.33,150.47333333333344,14886.0,0.0,14886.0,0.0,15733.0,0.0,119.13906782865524
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,100.0,dragonfly_style,155,345,40.46588357678594,87.54676940035274,92.66179791299234,7801.0,7085.0,14886.0,47.595055757087195,14358.0,1112.0,135.75822114944458
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,100.0,peersync_style,155,345,38.353165308777115,80.4450167063492,85.19799587301587,5853.0,9033.0,14886.0,60.68117694478033,14336.0,225.0,248.06039780378342
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,100.0,metapipe_reactive_style,155,345,38.31292014065635,80.12919147411996,92.4840585686546,7676.0,7210.0,14886.0,48.434770925702004,13738.0,1112.0,200.11655986309052
drtp_img88_cacheonly_1024mb_1000,1000,500,1,1.0,100.0,ilrsa_style,155,345,92.19574193548394,149.99000000000044,150.47333333333404,14886.0,0.0,14886.0,0.0,15059.0,0.0,320.58125734329224
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,10.0,registry,155,345,76.77741935483867,465.39999999999986,648.3999999999992,6484.0,0.0,6484.0,0.0,6045.0,0.0,76.61038637161255
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,10.0,dragonfly_style,155,345,22.244033832565297,153.56204166666686,163.98000000000008,1628.0,4856.0,6484.0,74.89204194941394,6017.0,0.0,85.31913161277771
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,10.0,peersync_style,155,345,20.9600860215054,142.50000000000028,151.66250000000008,1425.0,5059.0,6484.0,78.02282541640962,6928.0,0.0,149.2915004491806
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,10.0,metapipe_reactive_style,155,345,23.22661731950844,142.49999999999997,145.7715178571428,1425.0,5059.0,6484.0,78.02282541640962,5822.0,0.0,105.75617104768753
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,10.0,ilrsa_style,155,345,106.01419354838706,595.8999999999999,648.4000000000004,6484.0,0.0,6484.0,0.0,6258.0,0.0,138.19855451583862
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,30.0,registry,155,345,25.592473118279592,155.1333333333335,216.13333333333335,6484.0,0.0,6484.0,0.0,6045.0,0.0,74.23611730337143
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,30.0,dragonfly_style,155,345,7.8604172043010765,49.944,63.04530000000007,1628.0,4856.0,6484.0,74.89204194941394,6017.0,0.0,87.26531267166138
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,30.0,peersync_style,155,345,7.490665322580649,47.50000000000005,58.31429166666676,1425.0,5059.0,6484.0,78.02282541640962,6927.0,0.0,152.45737880468369
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,30.0,metapipe_reactive_style,155,345,8.203487967229906,47.50000000000001,58.31400793650795,1425.0,5059.0,6484.0,78.02282541640962,5872.0,0.0,107.42733627557755
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,30.0,ilrsa_style,155,345,35.338064516129045,198.63333333333327,216.13333333333324,6484.0,0.0,6484.0,0.0,6258.0,0.0,137.12701946496964
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,100.0,registry,155,345,7.697064516129031,46.540000000000006,66.12749999999998,6484.0,0.0,6484.0,0.0,6045.0,0.0,74.84500855207443
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,100.0,dragonfly_style,155,345,2.716647252090797,15.274537037037009,26.31712962962959,1457.0,5027.0,6484.0,77.52930289944479,6010.0,0.0,89.46606516838074
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,100.0,peersync_style,155,345,2.6810692951015502,14.963703703703672,25.904629629629586,1425.0,5059.0,6484.0,78.02282541640962,6438.0,0.0,172.4821776151657
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,100.0,metapipe_reactive_style,155,345,3.029017728156824,17.18725925925926,31.478311824845683,1530.0,4954.0,6484.0,76.40345465761875,5902.0,0.0,109.23832654953003
drtp_img88_cacheonly_1024mb_1000,1000,500,1,2.0,100.0,ilrsa_style,155,345,10.638983870967738,59.59,66.12750000000007,6484.0,0.0,6484.0,0.0,6258.0,0.0,136.20688021183014
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,10.0,registry,154,346,870.4987012987001,1515.8999999999983,1592.8999999999962,15929.0,0.0,15929.0,0.0,9944.0,6428.0,102.77882218360901
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,10.0,dragonfly_style,154,346,659.8767674190883,1356.4,1356.4,13564.0,2365.0,15929.0,14.84713415782535,9540.0,6428.0,119.74523961544037
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,10.0,peersync_style,154,346,612.4409978612654,1247.5,1247.5,12475.0,3454.0,15929.0,21.68372151421935,9924.0,6428.0,193.92862170934677
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,10.0,metapipe_reactive_style,154,346,582.8352261607041,1294.7,1294.7,12947.0,2982.0,15929.0,18.72057254064913,9975.0,6428.0,164.58912938833237
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,10.0,ilrsa_style,154,346,1059.0461038961032,1590.7999999999952,1592.8999999999933,15929.0,0.0,15929.0,0.0,9959.0,6428.0,261.2694650888443
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,30.0,registry,154,346,290.1662337662339,505.3000000000001,530.9666666666662,15929.0,0.0,15929.0,0.0,9944.0,6428.0,101.33646428585052
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,30.0,dragonfly_style,154,346,219.7114505514326,452.133333333333,452.133333333333,13564.0,2365.0,15929.0,14.84713415782535,9540.0,6428.0,118.98482590913773
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,30.0,peersync_style,154,346,204.0282861265716,415.83333333333314,415.83333333333314,12475.0,3454.0,15929.0,21.68372151421935,9924.0,6428.0,193.14298778772354
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,30.0,metapipe_reactive_style,154,346,194.65596228396325,436.83333333333337,436.83333333333337,13105.0,2824.0,15929.0,17.72867097746249,10075.0,6428.0,167.72518306970596
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,30.0,ilrsa_style,154,346,353.01536796536817,530.2666666666661,530.9666666666654,15929.0,0.0,15929.0,0.0,9959.0,6428.0,261.66974008083344
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,100.0,registry,154,346,87.17151515151514,151.67000000000021,164.50333333333384,15929.0,0.0,15929.0,0.0,9944.0,6428.0,101.4176532626152
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,100.0,dragonfly_style,154,346,67.91599888446534,151.30554431216913,151.30554431216913,13865.0,2064.0,15929.0,12.957498901374851,9972.0,6428.0,118.01713705062866
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,100.0,peersync_style,154,346,63.27408338174633,144.91859952876987,144.91859952876987,12573.0,3356.0,15929.0,21.06849143072384,10452.0,6428.0,194.80303674936295
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,100.0,metapipe_reactive_style,154,346,60.34581443270733,151.08644543550315,151.08644543550315,13222.0,2707.0,15929.0,16.99416159206479,9981.0,6540.0,169.33735460042953
drtp_img88_cacheonly_1024mb_1000,1000,500,2,0.5,100.0,ilrsa_style,154,346,106.25707792207801,164.15333333333407,164.50333333333435,15929.0,0.0,15929.0,0.0,9959.0,6428.0,260.7870176434517
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,10.0,registry,155,345,793.2593548387088,1412.7999999999984,1551.1999999999982,15512.0,0.0,15512.0,0.0,14838.0,0.0,103.91917824745178
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,10.0,dragonfly_style,155,345,434.7143534146189,704.7897693452396,724.5500000000017,7242.0,8270.0,15512.0,53.31356369262507,14492.0,0.0,123.99060279130936
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,10.0,peersync_style,155,345,412.30628801843324,639.5000000000001,654.2833333333335,6395.0,9117.0,15512.0,58.773852501289326,14301.0,0.0,235.3076934814453
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,10.0,metapipe_reactive_style,155,345,426.25527252944227,691.9754960317457,772.5999999999996,7726.0,7786.0,15512.0,50.19339865910263,14496.0,0.0,166.31819307804108
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,10.0,ilrsa_style,155,345,905.6929032258063,1508.5000000000014,1551.1999999999987,15512.0,0.0,15512.0,0.0,14016.0,0.0,260.94213128089905
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,30.0,registry,155,345,264.4197849462365,470.9333333333344,517.0666666666677,15512.0,0.0,15512.0,0.0,14838.0,0.0,102.60521620512009
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,30.0,dragonfly_style,155,345,149.58477410820942,229.33333333333275,244.2833333333327,7318.0,8194.0,15512.0,52.8236204228984,14653.0,0.0,126.17883086204529
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,30.0,peersync_style,155,345,143.93406412783744,221.3829742063492,226.942617063492,6395.0,9117.0,15512.0,58.773852501289326,13520.0,553.0,236.12432926893234
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,30.0,metapipe_reactive_style,155,345,144.61471147380118,245.6435383597883,258.0631934523809,7177.0,8335.0,15512.0,53.732594120680766,14496.0,0.0,166.813425719738
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,30.0,ilrsa_style,155,345,301.8976344086023,502.8333333333343,517.0666666666667,15512.0,0.0,15512.0,0.0,14016.0,0.0,261.16301864385605
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,100.0,registry,155,345,79.3624946236559,141.27999999999997,157.9533333333334,15512.0,0.0,15512.0,0.0,14838.0,0.0,102.52484679222107
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,100.0,dragonfly_style,155,345,56.63751647749909,101.48612962962976,114.34961728395076,7954.0,7558.0,15512.0,48.72356884992264,12629.0,1440.0,123.54456633329391
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,100.0,peersync_style,155,345,55.17899424283151,98.42292021604942,112.33049282407413,6948.0,8564.0,15512.0,55.20887055183084,12370.0,1440.0,232.49445110559464
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,100.0,metapipe_reactive_style,155,345,47.892335547969054,93.06986017403977,105.76568690555797,7214.0,8298.0,15512.0,53.49406910778752,14175.0,0.0,168.37607324123383
drtp_img88_cacheonly_1024mb_1000,1000,500,2,1.0,100.0,ilrsa_style,155,345,90.67737634408591,150.85000000000014,157.9533333333339,15512.0,0.0,15512.0,0.0,14016.0,0.0,260.1698413491249
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,10.0,registry,158,342,115.50506329113917,640.4999999999994,756.4999999999998,7565.0,0.0,7565.0,0.0,6492.0,0.0,71.8214213848114
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,10.0,dragonfly_style,158,342,48.11669303797469,232.67743055555556,246.41666666666669,2372.0,5193.0,7565.0,68.64507600793127,6970.0,0.0,81.03547245264053
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,10.0,peersync_style,158,342,48.1025316455696,232.57743055555554,246.31666666666666,2371.0,5194.0,7565.0,68.65829477858559,7451.0,0.0,148.3672708272934
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,10.0,metapipe_reactive_style,158,342,49.401687613019895,259.60000000000014,277.04809523809513,2596.0,4969.0,7565.0,65.68407138136153,6395.0,0.0,104.29704189300537
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,10.0,ilrsa_style,158,342,161.8873417721518,673.7999999999994,756.5000000000001,7565.0,0.0,7565.0,0.0,8036.0,0.0,130.12384623289108
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,30.0,registry,158,342,38.50168776371309,213.49999999999991,252.16666666666663,7565.0,0.0,7565.0,0.0,6492.0,0.0,69.9300616979599
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,30.0,dragonfly_style,158,342,16.36384041591322,76.67958333333343,88.7500000000001,2372.0,5193.0,7565.0,68.64507600793127,6234.0,0.0,82.24880695343018
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,30.0,peersync_style,158,342,16.370319846292958,76.8033333333334,88.71666666666674,2371.0,5194.0,7565.0,68.65829477858559,6652.0,0.0,150.3380611538887
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,30.0,metapipe_reactive_style,158,342,15.684028254972882,79.03333333333332,102.42829100529103,2371.0,5194.0,7565.0,68.65829477858559,6400.0,0.0,104.99081015586853
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,30.0,ilrsa_style,158,342,53.962447257383914,224.59999999999965,252.16666666666632,7565.0,0.0,7565.0,0.0,8036.0,0.0,129.9545094370842
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,100.0,registry,158,342,11.706413502109704,64.04999999999998,82.42999999999999,7565.0,0.0,7565.0,0.0,6492.0,0.0,69.92974132299423
drtp_img88_cacheonly_1024mb_1000,1000,500,2,2.0,100.0,dragonfly_style,158,342,6.115211121157322,28.893452380952354,47.15928571428567,2576.0,4989.0,7565.0,65.94844679444812,6546.0,0.0,82.63889700174332
