case,num_nodes,num_domains,seed,wan_mb_s,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,same_domain_peer_mb,cross_domain_peer_mb,p2p_offload_pct,peak_link_utilization,p95_link_utilization,wan_busy_time_s,avg_layer_transfer_s,evicted_mb,not_preserved_mb,pulse_ms,scout_ms,keep_ms,scheduler_runtime_ms,scheduling_cycles,pulse_selected_total,keep_virtual_queue,wall_runtime_s
cider_nodes20_domains4_req1000,20,4,1,10.0,312,188,139.16674348527164,434.7957343155295,522.1593392977707,4399.0,18882.0,4947.0,13935.0,81.104763541085,1.0,0.24135666666666666,439.9476328709122,3.3705777217875874,5959.0,13797.0,38523.11943471432,101.36625915765762,845.5449566245079,39470.03065049648,27,520,2832.5219821066885,39.632846653461456
cider_nodes30_domains5_req1000,30,5,1,10.0,389,111,50.460831124239746,269.2610734236463,332.9391847532395,1899.0,25813.0,14177.0,11636.0,93.14737297921478,1.0,0.2835022222222222,189.90000000000006,1.8271996739468446,9764.0,16705.0,64254.05516475439,160.4735031723976,2041.5368229150772,66456.06549084187,31,610,900.1824457402821,66.75123795121908
cider_nodes40_domains8_req1000,40,8,1,10.0,464,36,69.46842755965697,320.019989232167,383.27335040123603,1915.0,26898.0,10795.0,16103.0,93.35369451289348,1.0,0.15846083333333336,191.49999999999994,1.8918938100992855,11871.0,14398.0,81280.13046830893,211.44960820674896,3580.736108124256,85072.31618463993,37,734,765.1799487962918,85.48044227063656
cider_nodes50_domains10_req1000,50,10,1,10.0,500,0,71.53120009513432,317.85048558618394,414.8233370005834,2159.0,30989.0,9311.0,21678.0,93.48678653312417,1.0,0.05,215.90000000000003,1.6095642655753002,15811.0,17175.0,127160.09895503521,317.9163709282875,6496.15091085434,133974.16623681784,44,876,914.5299889982498,134.50928684324026
