base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_gain_pct,p95_gain_pct,registry_reduction_pct,p2p_offload_pct
200,100,0.5,10.0,dragonfly_style,20,22.699239527075733,16.284743530256844,15.442138663393276,15.423136264756433
200,100,0.5,10.0,ilrsa_style,20,-28.36307308031631,-3.1692385984345,0.0,0.0
200,100,0.5,10.0,metapipe_reactive_style,20,30.31231482190602,19.151337354627092,18.728069667527468,18.68739432955435
200,100,0.5,10.0,peersync_style,20,27.12969707123141,21.19321668587493,20.189223304343795,20.151676899493808
200,100,0.5,30.0,dragonfly_style,20,22.338785291881116,16.02041579979343,15.186501916551826,15.170694527363473
200,100,0.5,30.0,ilrsa_style,20,-28.36307308031619,-3.16923859843453,0.0,0.0
200,100,0.5,30.0,metapipe_reactive_style,20,30.433125663189486,18.808283815539337,18.65337625791808,18.61924951849633
200,100,0.5,30.0,peersync_style,20,26.826867215880387,20.483453323554514,20.01638622861973,19.962873329106223
200,100,0.5,100.0,dragonfly_style,20,20.54178722683356,9.338604223829886,15.248456915220077,15.238368646889118
200,100,0.5,100.0,ilrsa_style,20,-28.42939317338561,-3.8404853492192212,0.0,0.0
200,100,0.5,100.0,metapipe_reactive_style,20,28.34115723070745,9.508719041964653,18.179738978379433,18.18019654941243
200,100,0.5,100.0,peersync_style,20,24.374184947818247,12.30927890612532,19.735272659895998,19.694232875925014
200,100,1.0,10.0,dragonfly_style,20,46.63766969623541,54.44209486192772,52.43656267387845,52.282813114167496
200,100,1.0,10.0,ilrsa_style,20,-26.793332776602636,-4.312145527306746,0.0,0.0
200,100,1.0,10.0,metapipe_reactive_style,20,49.77026517784909,56.3530537740762,56.06196865982584,55.97083448663225
200,100,1.0,10.0,peersync_style,20,50.73208041751732,60.2232643185923,61.31325940399322,61.14207968420135
200,100,1.0,30.0,dragonfly_style,20,43.88273268794842,52.076189381327936,52.90401262923617,52.733447974714295
200,100,1.0,30.0,ilrsa_style,20,-26.793332776602583,-4.312145527306712,0.0,0.0
200,100,1.0,30.0,metapipe_reactive_style,20,47.10435867226535,51.843072898277974,57.02048368939326,56.91481459728902
200,100,1.0,30.0,peersync_style,20,47.77594318056538,55.195208230864644,61.2977316546111,61.11460426377849
