case,num_nodes,num_domains,seed,wan_mb_s,baseline,warmup_requests,target_requests,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,same_domain_peer_mb,cross_domain_peer_mb,p2p_offload_pct,peak_link_utilization,p95_link_utilization,wan_busy_time_s,evicted_mb,refused_cache_mb,algorithm_runtime_ms
cider_nodes20_domains4_req1000,20,4,1,10.0,registry,500,500,312,188,764.8240083611461,2126.9096995051004,2328.214000000001,23281.0,0.0,0.0,0.0,0.0,1.0,0.010438642183179381,2328.1000000000017,20190.0,0.0,667.7378788590431
cider_nodes20_domains4_req1000,20,4,1,10.0,dragonfly_style,500,500,312,188,199.29225277075736,539.8654702039821,667.7001831647334,6675.0,16606.0,9463.0,7143.0,71.32855117907306,1.0,0.05565759447876663,667.4999999999992,20338.0,151.0,775.5465060472488
cider_nodes20_domains4_req1000,20,4,1,10.0,peersync_style,500,500,312,188,181.6759332022583,468.07721119262885,477.5004516301932,4746.0,18535.0,7936.0,10599.0,79.6142777372106,1.0,0.26683555555555555,474.60000000000105,20808.0,0.0,2300.640568137169
cider_nodes20_domains4_req1000,20,4,1,10.0,metapipe_reactive_style,500,500,312,188,253.86846661508727,655.0280404494906,655.0280404494906,5577.0,17704.0,2840.0,14864.0,76.04484343456038,1.0,0.12121212121212123,557.7000000000006,18788.0,0.0,917.2975271940231
cider_nodes20_domains4_req1000,20,4,1,10.0,ilrsa_style,500,500,312,188,1170.1367000803132,2274.4259937499987,2329.4394999999886,23281.0,0.0,0.0,0.0,0.0,1.0,0.010438642183179381,2328.0999999999935,23553.0,0.0,613.0006313323975
cider_nodes20_domains4_req1000,20,4,1,30.0,registry,500,500,312,188,254.89983024517008,708.7761699442037,776.1473333333367,23281.0,0.0,0.0,0.0,0.0,1.0,0.03131592654953814,776.0333333333366,20190.0,0.0,650.1845195889473
cider_nodes20_domains4_req1000,20,4,1,30.0,dragonfly_style,500,500,312,188,66.7546484532287,176.1440222463945,219.7335164980672,6586.0,16695.0,7801.0,8894.0,71.7108371633521,1.0,0.5349,219.53333333333276,20394.0,151.0,805.1384091377258
cider_nodes20_domains4_req1000,20,4,1,30.0,peersync_style,500,500,312,188,62.67769701475059,156.1121519519274,171.87049271955163,4796.0,18485.0,8823.0,9662.0,79.39951033031227,1.0,0.64979,159.8666666666667,19178.0,1089.0,2280.1711335778236
cider_nodes20_domains4_req1000,20,4,1,30.0,metapipe_reactive_style,500,500,312,188,101.26217506047738,280.80965026849856,280.80965026849856,5788.0,17493.0,3725.0,13768.0,75.13852497744942,1.0,0.293445,192.93333333333342,18699.0,202.0,960.6799706816673
cider_nodes20_domains4_req1000,20,4,1,30.0,ilrsa_style,500,500,312,188,390.15425040394007,758.2268713178003,777.372833333337,23281.0,0.0,0.0,0.0,0.0,1.0,0.03131592654953814,776.0333333333367,23553.0,0.0,612.6504316926003
cider_nodes20_domains4_req1000,20,4,1,100.0,registry,500,500,312,188,76.43474245009433,212.42948280092511,235.39350939114487,23281.0,0.0,0.0,0.0,0.0,1.0,0.10631421378512622,235.27950939114484,20190.0,0.0,647.1277251839638
cider_nodes20_domains4_req1000,20,4,1,100.0,dragonfly_style,500,500,312,188,30.839362642429776,101.63351314779636,105.5379469384952,5139.0,18142.0,4623.0,13519.0,77.92620591898974,1.0,0.6805800000000001,54.409139739753044,19006.0,1089.0,886.9462087750435
cider_nodes20_domains4_req1000,20,4,1,100.0,peersync_style,500,500,312,188,31.949440645340022,109.41891989737874,112.84390735632981,4204.0,19077.0,4664.0,14413.0,81.94235642798849,1.0,0.6633100000000001,44.44368385984559,19855.0,0.0,2226.016543805599
