layer_digest,size_mb,num_images,images
sha256:6cf369abc841afa47f3a93567981f9c1d723f382d7fb9dbeb98b8099bf8b63c5,22.8665,1,python:3.11
sha256:c380448934e9e89b6e97e314f2d21c13d73788207dc050206abe91bccfcf38e6,0.0002,1,python:3.11
sha256:20d12c8f3f3fbb5bd2b8369adf3213e09d6b33f975462543ddfece85b2fe85e5,64.6497,2,perl:5.38|python:3.11
sha256:3b32e3bb7338c216b077e95920ae53332d81bd57f4a7393bc324432d5a3f88a2,47.0181,2,perl:5.38|python:3.11
sha256:1e1bb20756a85e159dfb7908a2a5c860ac2f2254254a915d8c047e02cb2b0259,225.1385,2,perl:5.38|python:3.11
sha256:5467f93954cfe1451f4333422086d00bd066cf33f42112b531804ffe06f0a929,24.4355,2,perl:5.38|python:3.11
sha256:5e69c8985c08e44d57de4d2a9908b23fe70ae893e35e66e78afc489f0a6b0f9d,5.8031,1,python:3.11
sha256:17a39c0ba978cc27001e9c56a480f98106e1ab74bd56eb302f9fd4cf758ea43f,3.2614,1,alpine:3.19
sha256:44cf07d57ee4424189f012074a59110ee2065adfdde9c7d9826bebdffce0a885,3.26,2,alpine:3.18|registry:2
sha256:034d6572bf287fa79604fee9be062f0683809ae3a3685bc7b0e17bd1c48c50e8,2.1042,1,busybox:1.36
sha256:c7716efee154a639ac02ada0d1638837bb72c3fc33ecac40f78ffb91daf9dfc5,0.0003,1,memcached:1.6
sha256:0d02c07f7ffb4ea4d70b3af1ed59da72e778c143718ba2a7bcb8cd6d12afd95b,0.1303,1,memcached:1.6
sha256:3531af2bc2a9c8883754652783cf96207d53189db279c9637b7157d034de7ecd,28.4006,6,httpd:2.4|memcached:1.6|php:8.2-apache|php:8.2-fpm|postgres:15|postgres:16
sha256:712f24abcdc2a432d57253a569a16eddd36ff1f8a4ace323467cdb642eae2850,0.0001,1,memcached:1.6
sha256:b53e27a8dc2608bcd39496d6e1a0a021aa8933953409444f778d810ec220ab89,0.0011,1,memcached:1.6
sha256:45b1a619145ef14a0e4599b98a19dbdc4fc96cfdf359ecf816454cd80ccf2dd2,2.1747,1,memcached:1.6
sha256:d32ec5ee95cb99b3b76a359cc8e0c7ca0bbcbfa83f0e86c10237edbbeb248a67,0.0001,1,httpd:2.4
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,12,caddy:2|ghost:5-alpine|haproxy:2.9|httpd:2.4|logstash:8.13.0|perl:5.38|php:8.2-apache|php:8.2-fpm|redis:7|redis:7-alpine|varnish:7|zookeeper:3.9
sha256:1935f25c7dc42c04314d348d390ebe6a7fd999c4870e66da1c453ebd3fce295b,0.0003,1,httpd:2.4
sha256:5b16784cbecd5d5f8af24ffc9a81a399c31eab252795bfb0f2e5469199f8570b,1.9052,1,httpd:2.4
sha256:b267b545226ba3ec284f36692de382e4dd4a80e33362e6948d9c2c45d2e120eb,12.8233,1,httpd:2.4
sha256:de3b062c0af7ef7ffea0dcd16ea18075e2cb2f2e10df1fb8eb44ce7da5921b10,0.0013,1,nginx:1.25
sha256:45337c09cd57ea39ca1de37bcf39129b4b650b8a76521ac1fbf88f8183620e80,0.0012,1,nginx:1.25
sha256:999643392fb738ac637978a3661798ac5f8df2b8ec469817bdef8ac8952b7644,0.0009,1,nginx:1.25
sha256:933cc84705771a00b189769c48d4a39ba2652e416e1a6f4dd189c21d2b4f8266,0.0006,1,nginx:1.25
sha256:a11fc495bafd95699c7cb83ca0878f63f94e34c28837c1da8ae7c9879343604f,39.8927,1,nginx:1.25
sha256:09f376ebb190216b0459f470e71bec7b5dfa611d66bf008492b40dcc5f1d8eae,27.8,1,nginx:1.25
sha256:971bb7f4fb12b17328d6c3461914ea12bf59013c11fba8c72af461e99d716538,0.0004,1,nginx:1.25
sha256:82736a35d0e7f1309edc13d09115410b81542cf8b91afff80deeace02b6f2f26,1.7842,1,nginx:alpine
sha256:781ff50d2644f74714c0d5a4ffa3447bbfd4b293cfb1dc6a637722ae24c89241,0.0004,1,nginx:alpine
sha256:612c0c1df4c55a0bf145f84df03cb28de505e6a52fb8e49c9da7b143fc00ad2d,19.3105,1,nginx:alpine
sha256:583599bb7d382e9e986a9ff65204981307bfa71670a29f4190eedae93c4858be,0.0006,1,nginx:alpine
sha256:6a0ac1617861a677b045b7ff88545213ec31c0ff08763195a70a4a5adda577bb,3.6852,4,caddy:2|eclipse-mosquitto:2|nginx:alpine|node:20-alpine
sha256:453da7dbc73e7338c4e201ec3f3c4a5f7751adbf5a6f127792c1cd001a780721,0.0012,1,nginx:alpine
sha256:aee4e54b3865ee4d98545b6b49f9e8ab3b9b6ed114a2eafedc7a22e984ea5a68,0.0009,1,nginx:alpine
