image_a,image_b,shared_layers,shared_size_mb
ubuntu:22.04,node:20-alpine,0,0
ubuntu:22.04,flink:1.18,0,0
ubuntu:22.04,cassandra:4.1,0,0
ubuntu:22.04,eclipse-temurin:17,0,0
ubuntu:22.04,php:8.2-apache,0,0
ubuntu:22.04,ruby:3.2,0,0
ubuntu:22.04,perl:5.38,0,0
ubuntu:22.04,prom/prometheus:v2.52.0,0,0
ubuntu:22.04,grafana/grafana:10.4.1,0,0
ubuntu:22.04,fluent/fluent-bit:3.0,0,0
ubuntu:22.04,logstash:8.13.0,0,0
ubuntu:22.04,telegraf:1.30,0,0
ubuntu:22.04,influxdb:2.7,0,0
ubuntu:22.04,minio/minio:latest,0,0
ubuntu:22.04,jenkins/jenkins:lts,0,0
ubuntu:22.04,gitlab/gitlab-runner:alpine,0,0
ubuntu:22.04,hashicorp/http-echo:latest,0,0
ubuntu:22.04,consul:1.15,0,0
ubuntu:22.04,nats:2.10,0,0
ubuntu:22.04,solr:9,1,28.3589
ubuntu:22.04,varnish:7,0,0
ubuntu:22.04,traefik:v3.0,0,0
ubuntu:22.04,eclipse-mosquitto:2,0,0
ubuntu:22.04,sonarqube:community,0,0
debian:12,alpine:3.19,0,0
debian:12,busybox:1.36,0,0
debian:12,memcached:1.6,0,0
debian:12,httpd:2.4,0,0
debian:12,nginx:1.25,0,0
debian:12,caddy:2,0,0
debian:12,haproxy:2.9,0,0
debian:12,mysql:8.0,0,0
debian:12,mariadb:11,0,0
debian:12,redis:7,0,0
debian:12,postgres:16,0,0
debian:12,mongo:7,0,0
debian:12,rabbitmq:3-management,0,0
debian:12,zookeeper:3.9,0,0
debian:12,registry:2,0,0
debian:12,wordpress:6.4,0,0
debian:12,ghost:5-alpine,0,0
debian:12,node:20,1,46.2424
debian:12,node:20-alpine,0,0
debian:12,flink:1.18,0,0
debian:12,cassandra:4.1,0,0
debian:12,eclipse-temurin:17,0,0
debian:12,php:8.2-apache,0,0
debian:12,ruby:3.2,0,0
debian:12,perl:5.38,0,0
debian:12,prom/prometheus:v2.52.0,0,0
debian:12,grafana/grafana:10.4.1,0,0
debian:12,fluent/fluent-bit:3.0,0,0
debian:12,logstash:8.13.0,0,0
debian:12,telegraf:1.30,0,0
debian:12,influxdb:2.7,0,0
debian:12,minio/minio:latest,0,0
debian:12,jenkins/jenkins:lts,0,0
debian:12,gitlab/gitlab-runner:alpine,0,0
debian:12,hashicorp/http-echo:latest,0,0
debian:12,consul:1.15,0,0
debian:12,nats:2.10,0,0
debian:12,solr:9,0,0
debian:12,varnish:7,0,0
debian:12,traefik:v3.0,0,0
debian:12,eclipse-mosquitto:2,0,0
debian:12,sonarqube:community,0,0
