image_a,image_b,shared_layers,shared_size_mb
busybox:1.36,rust:1.76-slim,0,0
busybox:1.36,prom/prometheus:v2.52.0,0,0
busybox:1.36,logstash:8.13.0,0,0
busybox:1.36,telegraf:1.30,0,0
memcached:1.6,httpd:2.4,1,28.4006
memcached:1.6,nginx:1.25,0,0
memcached:1.6,nginx:alpine,0,0
memcached:1.6,caddy:2,0,0
memcached:1.6,haproxy:2.9,0,0
memcached:1.6,traefik:v3.0,0,0
memcached:1.6,varnish:7,0,0
memcached:1.6,mysql:8.0,0,0
memcached:1.6,mariadb:11,0,0
memcached:1.6,redis:7,0,0
memcached:1.6,redis:7-alpine,0,0
memcached:1.6,postgres:16,1,28.4006
memcached:1.6,postgres:15,1,28.4006
memcached:1.6,mongo:7,0,0
memcached:1.6,cassandra:4.1,0,0
memcached:1.6,rabbitmq:3-management,0,0
memcached:1.6,zookeeper:3.9,0,0
memcached:1.6,eclipse-mosquitto:2,0,0
memcached:1.6,nats:2.10,0,0
memcached:1.6,registry:2,0,0
memcached:1.6,wordpress:6.4,0,0
memcached:1.6,ghost:5-alpine,0,0
memcached:1.6,node:20,0,0
memcached:1.6,node:20-alpine,0,0
memcached:1.6,node:18-alpine,0,0
memcached:1.6,flink:1.18,0,0
memcached:1.6,eclipse-temurin:17,0,0
memcached:1.6,eclipse-temurin:17-jdk-jammy,0,0
memcached:1.6,eclipse-temurin:21,0,0
memcached:1.6,php:8.2-apache,1,28.4006
memcached:1.6,php:8.2-fpm,1,28.4006
memcached:1.6,ruby:3.2,0,0
memcached:1.6,perl:5.38,0,0
memcached:1.6,rust:1.76,0,0
memcached:1.6,rust:1.76-slim,0,0
memcached:1.6,prom/prometheus:v2.52.0,0,0
memcached:1.6,logstash:8.13.0,0,0
memcached:1.6,telegraf:1.30,0,0
httpd:2.4,nginx:1.25,0,0
httpd:2.4,nginx:alpine,0,0
httpd:2.4,caddy:2,1,0.0
httpd:2.4,haproxy:2.9,1,0.0
httpd:2.4,traefik:v3.0,0,0
httpd:2.4,varnish:7,1,0.0
httpd:2.4,mysql:8.0,0,0
httpd:2.4,mariadb:11,0,0
httpd:2.4,redis:7,1,0.0
httpd:2.4,redis:7-alpine,1,0.0
httpd:2.4,postgres:16,1,28.4006
httpd:2.4,postgres:15,1,28.4006
httpd:2.4,mongo:7,0,0
httpd:2.4,cassandra:4.1,0,0
httpd:2.4,rabbitmq:3-management,0,0
httpd:2.4,zookeeper:3.9,1,0.0
httpd:2.4,eclipse-mosquitto:2,0,0
httpd:2.4,nats:2.10,0,0
httpd:2.4,registry:2,0,0
httpd:2.4,wordpress:6.4,0,0
httpd:2.4,ghost:5-alpine,1,0.0
httpd:2.4,node:20,0,0
httpd:2.4,node:20-alpine,0,0
httpd:2.4,node:18-alpine,0,0
httpd:2.4,flink:1.18,0,0
httpd:2.4,eclipse-temurin:17,0,0
httpd:2.4,eclipse-temurin:17-jdk-jammy,0,0
httpd:2.4,eclipse-temurin:21,0,0
httpd:2.4,php:8.2-apache,2,28.4006
httpd:2.4,php:8.2-fpm,2,28.4006
httpd:2.4,ruby:3.2,0,0
httpd:2.4,perl:5.38,1,0.0
httpd:2.4,rust:1.76,0,0
httpd:2.4,rust:1.76-slim,0,0
httpd:2.4,prom/prometheus:v2.52.0,0,0
httpd:2.4,logstash:8.13.0,1,0.0
httpd:2.4,telegraf:1.30,0,0
nginx:1.25,nginx:alpine,0,0
nginx:1.25,caddy:2,0,0
nginx:1.25,haproxy:2.9,0,0
nginx:1.25,traefik:v3.0,0,0
nginx:1.25,varnish:7,0,0
nginx:1.25,mysql:8.0,0,0
nginx:1.25,mariadb:11,0,0
nginx:1.25,redis:7,0,0
nginx:1.25,redis:7-alpine,0,0
nginx:1.25,postgres:16,0,0
nginx:1.25,postgres:15,0,0
nginx:1.25,mongo:7,0,0
nginx:1.25,cassandra:4.1,0,0
nginx:1.25,rabbitmq:3-management,0,0
nginx:1.25,zookeeper:3.9,0,0
nginx:1.25,eclipse-mosquitto:2,0,0
nginx:1.25,nats:2.10,0,0
nginx:1.25,registry:2,0,0
nginx:1.25,wordpress:6.4,0,0
nginx:1.25,ghost:5-alpine,0,0
nginx:1.25,node:20,0,0
nginx:1.25,node:20-alpine,0,0
nginx:1.25,node:18-alpine,0,0
nginx:1.25,flink:1.18,0,0
nginx:1.25,eclipse-temurin:17,0,0
nginx:1.25,eclipse-temurin:17-jdk-jammy,0,0
nginx:1.25,eclipse-temurin:21,0,0
nginx:1.25,php:8.2-apache,0,0
nginx:1.25,php:8.2-fpm,0,0
nginx:1.25,ruby:3.2,0,0
nginx:1.25,perl:5.38,0,0
nginx:1.25,rust:1.76,0,0
nginx:1.25,rust:1.76-slim,0,0
nginx:1.25,prom/prometheus:v2.52.0,0,0
nginx:1.25,logstash:8.13.0,0,0
nginx:1.25,telegraf:1.30,0,0
nginx:alpine,caddy:2,1,3.6852
nginx:alpine,haproxy:2.9,0,0
nginx:alpine,traefik:v3.0,0,0
nginx:alpine,varnish:7,0,0
nginx:alpine,mysql:8.0,0,0
nginx:alpine,mariadb:11,0,0
nginx:alpine,redis:7,0,0
nginx:alpine,redis:7-alpine,0,0
nginx:alpine,postgres:16,0,0
nginx:alpine,postgres:15,0,0
nginx:alpine,mongo:7,0,0
nginx:alpine,cassandra:4.1,0,0
nginx:alpine,rabbitmq:3-management,0,0
nginx:alpine,zookeeper:3.9,0,0
nginx:alpine,eclipse-mosquitto:2,1,3.6852
nginx:alpine,nats:2.10,0,0
nginx:alpine,registry:2,0,0
nginx:alpine,wordpress:6.4,0,0
nginx:alpine,ghost:5-alpine,0,0
nginx:alpine,node:20,0,0
nginx:alpine,node:20-alpine,1,3.6852
nginx:alpine,node:18-alpine,0,0
nginx:alpine,flink:1.18,0,0
nginx:alpine,eclipse-temurin:17,0,0
nginx:alpine,eclipse-temurin:17-jdk-jammy,0,0
nginx:alpine,eclipse-temurin:21,0,0
nginx:alpine,php:8.2-apache,0,0
nginx:alpine,php:8.2-fpm,0,0
nginx:alpine,ruby:3.2,0,0
nginx:alpine,perl:5.38,0,0
nginx:alpine,rust:1.76,0,0
nginx:alpine,rust:1.76-slim,0,0
nginx:alpine,prom/prometheus:v2.52.0,0,0
nginx:alpine,logstash:8.13.0,0,0
nginx:alpine,telegraf:1.30,0,0
caddy:2,haproxy:2.9,1,0.0
caddy:2,traefik:v3.0,0,0
caddy:2,varnish:7,1,0.0
caddy:2,mysql:8.0,0,0
caddy:2,mariadb:11,0,0
caddy:2,redis:7,1,0.0
caddy:2,redis:7-alpine,1,0.0
caddy:2,postgres:16,0,0
caddy:2,postgres:15,0,0
caddy:2,mongo:7,0,0
caddy:2,cassandra:4.1,0,0
caddy:2,rabbitmq:3-management,0,0
caddy:2,zookeeper:3.9,1,0.0
caddy:2,eclipse-mosquitto:2,1,3.6852
caddy:2,nats:2.10,0,0
caddy:2,registry:2,0,0
caddy:2,wordpress:6.4,0,0
caddy:2,ghost:5-alpine,1,0.0
caddy:2,node:20,0,0
caddy:2,node:20-alpine,1,3.6852
caddy:2,node:18-alpine,0,0
caddy:2,flink:1.18,0,0
caddy:2,eclipse-temurin:17,0,0
caddy:2,eclipse-temurin:17-jdk-jammy,0,0
caddy:2,eclipse-temurin:21,0,0
caddy:2,php:8.2-apache,1,0.0
caddy:2,php:8.2-fpm,1,0.0
caddy:2,ruby:3.2,0,0
caddy:2,perl:5.38,1,0.0
caddy:2,rust:1.76,0,0
caddy:2,rust:1.76-slim,0,0
caddy:2,prom/prometheus:v2.52.0,0,0
caddy:2,logstash:8.13.0,1,0.0
caddy:2,telegraf:1.30,0,0
haproxy:2.9,traefik:v3.0,0,0
haproxy:2.9,varnish:7,1,0.0
haproxy:2.9,mysql:8.0,0,0
haproxy:2.9,mariadb:11,0,0
haproxy:2.9,redis:7,1,0.0
haproxy:2.9,redis:7-alpine,1,0.0
haproxy:2.9,postgres:16,0,0
haproxy:2.9,postgres:15,0,0
haproxy:2.9,mongo:7,0,0
haproxy:2.9,cassandra:4.1,0,0
haproxy:2.9,rabbitmq:3-management,0,0
haproxy:2.9,zookeeper:3.9,1,0.0
