layer_digest,size_mb,num_images,images
sha256:5664b15f108bf9436ce3312090a767300800edbbfd4511aa1a6d64357024d5dd,0.0002,1,fluent/fluent-bit:3.0
sha256:b3ae1613dfe7c2ba6ab804da64909f5781fe9774ecf42df3e9932914f38cd8ab,5.5681,1,fluent/fluent-bit:3.0
sha256:1aac2fe67fcc548d7e95ef697e3c19a7d06017ab4039e5f91117c517c512a75a,95.3563,1,jenkins/jenkins:lts
sha256:6e001067f512941c3a3a1f59bb5f1f475487e4ee4312fb4381ddfa7f6238774e,0.0002,1,jenkins/jenkins:lts
sha256:a7730063fcfe708b222d34c4f07d633dfe087a28c05c4daaab2fa9943854c155,47.0141,1,jenkins/jenkins:lts
sha256:6e428cebe9444854a9db46ac2fa5cc10c8f16dc5d3f361f47347906d5eb30c62,68.7369,1,jenkins/jenkins:lts
sha256:0454b3406328ebc42ecb968cabeaf865f6eb114727960908edb677379b072d4d,6.1515,1,jenkins/jenkins:lts
sha256:f015f18f3c7a7ff589489cba742b5a7b297eaf81139a268a7af82577d238e986,0.0002,1,jenkins/jenkins:lts
sha256:beb35d8d94935ce0f2e445e4e532771334df2407bea9727dec5145544924013c,56.3638,1,jenkins/jenkins:lts
sha256:32ebd389acdea62e7c99d9ee0a60d18f6a96334db8327d9872bd36421d2489bd,0.0012,1,jenkins/jenkins:lts
sha256:a576649e937694873a24c05f52567af1969757e8d08e6261d6d4964ff443b8c6,4.9959,1,jenkins/jenkins:lts
sha256:e714309bcf673445dd725f13211967243c55c8b24707c01d5b435d51093cb339,0.0004,1,jenkins/jenkins:lts
sha256:b850d1c40542fbf040e4119bb295ba768081a8dac2f9b0e6cb6012b187606f06,0.0017,1,jenkins/jenkins:lts
sha256:32ad68c1bba82e6c2976c1f5166d03ffc403bd6273f23e133d95cd3c5af7bd03,0.0012,1,jenkins/jenkins:lts
sha256:5d4746900976b21cc5df7293a8ba89a55b167f713d344e5be91c64c2d36cd442,3.7628,1,hashicorp/http-echo:latest
sha256:02cd68c0cbf64abe9738767877756b33f50fff5d88583fdc74b66beffa77694b,0.0002,1,hashicorp/http-echo:latest
sha256:65efb1cabba44ca8eefa2058ebdc19b7f76bbb48400ff9e32b809be25f0cdefa,0.0003,1,hashicorp/http-echo:latest
sha256:d3c894b5b2b0fa857549aeb6cbc38b038b5b2828736be37b6d9fff0b886f12fd,0.0001,1,hashicorp/http-echo:latest
sha256:3d17c666b2a2300fb3e6377e8a423bc45c9cc4c5dd2c2f626393b8e704e9e12a,0.0806,1,hashicorp/http-echo:latest
sha256:13547472c521121fc04c8fa473757115ef8abe698cc9fa67e828371feeff40e7,0.1232,1,hashicorp/http-echo:latest
sha256:eebb06941f3e57b2e40a0e9cbd798dacef9b04d89ebaa8896be5f17c976f8666,0.0003,1,hashicorp/http-echo:latest
sha256:e5dbef90bae3c9df1dfd4ae7048c56226f6209d538c91f987aff4f54e888f566,0.012,1,hashicorp/http-echo:latest
sha256:2047f8b7467082433d4bd49aa6d649ed93f31986664247c1219ca2d7cadb92d5,0.4313,1,hashicorp/http-echo:latest
sha256:b40161cd83fc5d470d6abe50e87aa288481b6b89137012881d74187cfbf9f502,0.0004,1,hashicorp/http-echo:latest
sha256:52b550c7632cfdb73fbb57003c5b588807cc6d4b7decb1892b296c7ae9853cbc,0.0019,1,hashicorp/vault:1.13
sha256:ad1a5f62b356fe3176c32beb88d329384339ea49d5ffd497c59d134cdfb981e0,0.0012,1,hashicorp/vault:1.13
sha256:9871a6bd80753cfa05f08ec144d3bedb9060420903dc221de9bd81dc8505a74c,0.0001,1,hashicorp/vault:1.13
sha256:c1db77bf45d5ea664a92874e1b56c6c291c9fe934d6c8fe7d8b129f1c7655375,97.0177,1,hashicorp/vault:1.13
sha256:619be1103602d98e1963557998c954c892b3872986c27365e9f651f5bc27cab8,3.2449,1,hashicorp/vault:1.13
sha256:122020d11d18ada29e8866db512920c2173192245e2acb2b2914d476d7d56d25,0.0018,1,hashicorp/vault:1.13
sha256:87f14cfb4950cce234d3bd10ec3f96e71471ac63329cdff8532666e979ab6708,0.4032,1,hashicorp/vault:1.13
sha256:c482d778a50e24e3c53f663a2d488b07bbd5ecfde6bc593fd7133c733d306f90,0.0012,1,verdaccio/verdaccio:5
sha256:06f42e974ed9edab81a03be56804407350c157d9980dfeceab1e0def87106088,0.0004,1,verdaccio/verdaccio:5
sha256:842cd80f9366843dd6175d28abb6233501045711892a1a5a700676a0ed2d6ec4,1.3221,1,verdaccio/verdaccio:5
sha256:e8f0fe5ea69ffe2e3efe49003776fd5f69567e32ebc98a5a25481eb519843729,0.0001,1,verdaccio/verdaccio:5
sha256:737da86e5e86be8d490b910c63f7a45bc0a97913a42ff71d396c801c8bf06a58,0.0004,1,verdaccio/verdaccio:5
sha256:539ad8e054988887371d530fe0bca10893a51e20bf5ddd93e8a9a477d1f6f4a3,0.0001,1,verdaccio/verdaccio:5
sha256:94d0d4a04e9a49d1e07a9cd26278258dd7b3edddc0ed53bab331557e9f04a725,0.6408,1,verdaccio/verdaccio:5
sha256:d43d46ba042dbb93bb07c811f3862b0a52b3123270e3fe00a85362173f841ecd,2.5375,1,verdaccio/verdaccio:5
sha256:6e988e15608530713d8223e8c92b11ec141aa80c4f081e62ca43b6d88b1f82fa,0.003,1,verdaccio/verdaccio:5
sha256:87bf0bfb338ef105de081084e0fa7c16baf8030a286026ffa0d4ba90d7153e67,8.7791,1,verdaccio/verdaccio:5
sha256:43c4264eed91be63b206e17d93e75256a6097070ce643c5e8f0379998b44f170,3.4559,1,verdaccio/verdaccio:5
sha256:c36270121b0cfc4d7ddaf49f4711e7bcad4cf5e364694d5ff4bd5b65b01ed571,40.35,1,verdaccio/verdaccio:5
sha256:f05bf41a6ea58820568756f6635a846cd0d38e0bb348112d66b4d825c752847c,31.7364,1,alpine/git:latest
sha256:ddba3c6cb6156b276f62274dabdc7cc8a41d651a88f2760c2df59b63675a3397,0.0001,1,alpine/git:latest
sha256:589002ba0eaed121a1dbf42f6648f29e5be55d5c8a6ee0f8eaa0285cc21ac153,3.6829,1,alpine/git:latest
