iter,phi_total,delay_term,frag_term,aff_reward_term,load_term
1,457.0541666666667,456.0125,0.041666666666666664,0.0,1.0
2,1954.5122685185186,1952.4625,0.04976851851851852,0.0,2.0
3,15037.139814814815,15034.074999999999,0.06481481481481481,0.0,3.0
4,16474.668518518516,16470.587499999998,0.08101851851851852,0.0,4.0
5,33917.860185185185,33912.7375,0.12268518518518517,0.0,5.0
6,33960.54652777778,33954.40416666667,0.14236111111111108,0.0,6.0
7,34797.81898148148,34790.67083333334,0.1481481481481481,0.0,7.0
8,34801.655324074076,34793.4875,0.16782407407407404,0.0,8.0
9,53951.84872685185,53940.6375,0.21122685185185186,0.0,11.0
10,59422.34537037037,59408.120833333334,0.22453703703703703,0.0,14.0
11,62064.38125,62047.120833333334,0.2604166666666667,0.0,17.0
12,61862.82465277778,62047.120833333334,0.3038194444444444,204.60000000000002,20.0
13,62863.42465277778,63044.72083333333,0.3038194444444445,204.60000000000002,23.0
14,68448.23912037036,68626.52083333333,0.31828703703703703,204.60000000000002,26.0
15,68246.659375,68626.52083333333,0.33854166666666663,409.20000000000005,29.0
16,69754.47210648148,70131.32083333333,0.35127314814814814,409.20000000000005,32.0
17,82967.80671296296,83339.6375,0.36921296296296297,409.20000000000005,37.0
18,87377.45868055557,87744.27500000001,0.3836805555555556,409.20000000000005,42.0
19,93985.75034722223,94347.725,0.42534722222222215,409.40000000000003,47.0
20,105623.378125,105980.52500000001,0.45312499999999994,409.6,52.0
21,113899.88564814815,114252.02500000001,0.4606481481481481,409.6,57.0
22,113700.29664351854,114252.02500000001,0.4716435185185185,614.2,62.0
23,130652.5828703704,131197.30833333335,0.47453703703703703,614.2,69.0
24,137138.8375,137678.55833333335,0.4791666666666667,614.2,74.0
25,139638.63981481481,140173.35833333334,0.4814814814814815,614.2,79.0
26,153008.00775462962,153535.90833333333,0.4994212962962963,614.4000000000001,86.0
27,162264.24074074073,162785.30833333332,0.5324074074074074,614.6,93.0
28,162066.64999999997,162785.30833333332,0.5416666666666666,819.2,100.0
29,163344.41504629626,164056.05833333332,0.556712962962963,819.2,107.0
30,169003.96064814815,169714.19583333333,0.5648148148148149,824.8000000000001,114.0
31,181321.1664351852,182024.39583333334,0.570601851851852,824.8000000000001,121.0
32,181125.56064814815,182024.39583333334,0.5648148148148149,1029.4,130.0
33,221365.13217592594,222257.12916666668,0.6030092592592593,1029.6000000000001,137.0
34,235675.4238425926,236558.57916666666,0.644675925925926,1029.8,146.0
35,236454.95324074075,237401.49583333335,0.6574074074074074,1102.2,155.0
36,241814.17175925928,242751.89583333334,0.6759259259259259,1102.4,164.0
37,267959.8064814815,268888.6958333333,0.7106481481481481,1102.6000000000001,173.0
38,291458.2394675927,292378.2958333334,0.7436342592592593,1102.8,182.0
39,304898.9275462963,305808.16250000003,0.7650462962962963,1103.0,193.0
40,304836.5420138889,305808.16250000003,0.779513888888889,1176.4,204.0
41,304640.9431712963,305808.16250000003,0.7806712962962964,1381.0,213.0
42,304533.33854166674,305808.16250000003,0.7760416666666667,1499.6000000000001,224.0
43,348999.153587963,350265.16250000003,0.791087962962963,1499.8000000000002,233.0
44,348805.58715277776,350265.16250000003,0.8246527777777778,1704.4,244.0
45,362669.1500000001,364123.2958333334,0.8541666666666667,1710.0,255.0
46,405501.2827546297,406944.6291666667,0.853587962962963,1710.2,266.0
47,405420.9174768519,406944.6291666667,0.8883101851851852,1803.6000000000001,279.0
48,410871.3424768519,412382.2125,0.9299768518518519,1803.8000000000002,292.0
49,410677.75347222225,412382.2125,0.9409722222222222,2008.4,303.0
50,457063.8289351852,458755.4625,0.9664351851851852,2008.6000000000001,316.0
51,456870.24861111114,458755.4625,0.9861111111111112,2213.2000000000003,327.0
52,484640.94479166664,486513.32916666666,1.015625,2213.4,340.0
53,484449.3459490741,486513.32916666666,1.0167824074074074,2418.0,353.0
54,530124.777199074,532175.7291666666,1.0480324074074074,2418.0,366.0
55,537456.4450231481,539498.1958333333,1.0491898148148149,2423.8,381.0
56,555756.9944444444,557783.9458333333,1.0486111111111112,2424.0,396.0
57,585671.4622685185,587685.6124999999,1.0497685185185186,2424.2000000000003,409.0
58,603411.2506944445,605410.4125,1.0381944444444444,2424.2000000000003,424.0
59,635909.0761574074,637893.2124999999,1.0636574074074074,2424.2000000000003,439.0
60,660233.4001157408,662204.5,1.1001157407407407,2424.2000000000003,452.0
61,674903.4025462964,676859.4625,1.1400462962962963,2424.2000000000003,467.0
62,740046.4907407408,741991.3125,1.1782407407407407,2430.0,484.0
63,740849.2621527778,742804.0625,1.1996527777777777,2457.0,501.0
64,740779.2835648148,742804.0625,1.2210648148148147,2542.0,516.0
65,789219.6945601852,791229.6625,1.2320601851851851,2542.2000000000003,531.0
66,797753.835300926,799752.2125,1.2228009259259258,2547.6000000000004,548.0
67,816335.3530092592,818318.725,1.228009259259259,2547.6000000000004,563.0
68,816149.7559027778,818318.725,1.2309027777777777,2752.2000000000003,582.0
69,816081.7553240741,818318.725,1.230324074074074,2837.2000000000003,599.0
70,816947.9677083334,819194.9125,1.255208333333333,2864.2000000000003,616.0
71,816762.374074074,819194.9125,1.261574074074074,3068.8,635.0
72,858762.368287037,861178.1124999999,1.2557870370370372,3069.0,652.0
73,858574.7989583333,861178.1124999999,1.2864583333333335,3273.6000000000004,669.0
74,896060.9836805554,898645.2624999998,1.3211805555555558,3273.6000000000004,688.0
75,912624.4699074073,915197.3458333332,1.3240740740740742,3279.2000000000003,705.0
76,926911.4872685184,929465.3458333332,1.3414351851851853,3279.2000000000003,724.0
77,940205.2020833332,942745.6583333332,1.3437500000000002,3284.8,743.0
78,940021.6333333332,942745.6583333332,1.3750000000000002,3489.4,764.0
79,943821.1880787037,946524.1916666667,1.396412037037037,3489.4,785.0
