cache,method,Dynamic_Gain,Reuse_norm,Future_norm,Pull_saving_norm,Evict_saving_norm,Reuse_raw,Future_raw,Pull_raw,Evict_raw,n
128,ILR-SA,0.172858006775778,0.0,0.19603333287085858,0.4953986942322534,0.0,10.389093588330711,225.64813984178485,498.2656133537153,110.83987239534552,9
128,LRScheduler,0.29972410288162205,0.22465629286973987,0.2618019742003102,0.5165336841090314,0.19590446034740674,30.55742029028319,280.64979707419224,481.0867132419552,93.61237355088161,9
128,GAHRL,0.23773459046145423,0.11905466558473557,0.22204299156871646,0.5092433573158314,0.10059734737653354,21.077124447528007,247.39975738342415,487.01242205433925,101.99351594888135,9
128,ORR,0.3012358352851066,0.2222169810415968,0.2407891299706121,0.5207727534868464,0.22116447664137112,30.33843315553842,263.07696551742606,477.6411213664503,91.3910514801962,9
128,LASA,0.4748377886282193,0.26554444830343354,0.0,1.0,0.6338067062094437,34.22811950147819,61.707423373599845,88.1165913486304,55.104008702024544,9
128,FG-orig,0.75,1.0,1.0,0.0,1.0,100.16323899206739,897.9974260344467,900.9345870948893,22.901604864766778,9
128,FG-selected,0.36623647631192213,0.30570745124109217,0.367341232477585,0.5491436897713012,0.24275353175771042,37.83371876705426,368.9112236597182,454.5807137982748,89.49254737564314,9
256,ILR-SA,0.16892481110099453,0.0,0.19777888166799665,0.4779203627359815,0.0,15.973022306643706,227.10792484998808,492.6086035006978,163.9244913156018,9
256,LRScheduler,0.2860007714764171,0.2278174107627203,0.2507904196363251,0.5024646428788517,0.16293061262777128,39.806436126914846,271.44094407857705,472.68745210168083,137.79902433559351,9
256,GAHRL,0.2591024598897929,0.1788852950744946,0.2403771107775986,0.5015840137091956,0.11556341999788289,34.68733939767705,262.7323979854045,473.40220710419027,145.3942208860109,9
256,ORR,0.2669888009281358,0.19692191528171435,0.24590157098903118,0.5056740097644413,0.11945770767735649,36.57426380735468,267.35244883032317,470.08259739619893,144.7697827737381,9
256,LASA,0.5202198448409541,0.35849557684771216,0.0,1.0,0.7223838025161039,53.47750191223184,61.707423373599845,68.86720893787674,48.092273691505675,9
256,FG-orig,0.75,1.0,1.0,0.0,1.0,120.58931892979541,897.9974260344467,880.5085071571611,3.5772946859903385,9
256,FG-selected,0.35473362091448546,0.4076643343425987,0.367341232477585,0.5503852881843501,0.09354362865340812,58.6213552309087,368.9112236597182,433.79307733442033,148.92503269846642,9
384,ILR-SA,0.17137501754970474,0.0,0.20703287808474902,0.47846719211406996,0.0,21.04497912849338,234.8469495379774,488.16348670555885,181.09056377907208,9
384,LRScheduler,0.3214401002192284,0.3364114561331431,0.24561881578462777,0.5210871141688751,0.1826430147902678,54.88346717801505,267.11598347968027,453.3078205777673,148.44908354549318,9
384,GAHRL,0.27169091221021663,0.22525488418390152,0.23269145584726536,0.5054335677541496,0.12338374105554999,43.702604389437624,256.3049616032657,466.10969259541093,159.0397454138884,9
384,ORR,0.2887337863016048,0.24450935220068226,0.25331721814907415,0.5081850209199381,0.1489235539367246,45.63934606100504,273.5540804135274,463.8594835783776,154.4753370882403,9
384,LASA,0.5572625969913367,0.39427872848814727,0.0,1.0,0.8347716594771998,60.70413995340425,61.707423373599845,61.640570896704325,31.90236376131369,9
384,FG-orig,0.75,1.0,1.0,0.0,1.0,121.63158946119637,897.9974260344467,879.4662366257602,2.3731884057971016,9
384,FG-selected,0.4542018623291634,0.6455443525339356,0.367341232477585,0.578399433096841,0.22552243120829185,85.97809736930141,368.9112236597182,406.43633519602764,140.7857867857262,9
512,ILR-SA,0.17222910245365552,0.0,0.2066916635180411,0.482224746296581,0.0,26.861129848302483,234.56159520707732,482.407831195405,177.90560574190124,9
512,LRScheduler,0.31023680252881636,0.31589544118275126,0.23327851078659417,0.5222085541380173,0.1695647040079028,58.22860884126496,256.7959097800391,449.8609376606024,148.15911514544143,9
512,GAHRL,0.2837049353715808,0.24667495546619544,0.23736431626806698,0.5137646069563284,0.13701586279573244,51.355220217905234,260.2128280570117,456.734326283962,153.86911124815845,9
512,ORR,0.33166599350685955,0.3435496807424242,0.2572035516527164,0.521821160052388,0.2040895815799097,60.97459268707982,276.80418226962934,450.17627716280765,142.10246584422976,9
512,LASA,0.5578338828072062,0.3479032966823306,0.0,1.0,0.8834322345464947,61.40689381819819,61.707423373599845,60.937817031910384,22.926367513631718,9
512,FG-orig,0.75,1.0,1.0,0.0,1.0,126.15815950950554,897.9974260344467,874.939666577451,2.4770531400966185,9
512,FG-selected,0.511312459861463,0.7776581043906411,0.367341232477585,0.5977941008242795,0.3024564017533463,104.08026970625491,368.9112236597182,388.33416285907407,124.84611695716177,9
640,ILR-SA,0.1741628674240781,0.0,0.21424085159668244,0.48241061809962993,0.0,32.30315760616869,240.8749057254515,476.64352289455576,191.37085261104323,9
640,LRScheduler,0.348444827118359,0.38548142516460043,0.26428712128329657,0.5309740439405478,0.21303671808499125,72.64972068305116,282.7281007348355,437.63601533018567,151.42362080076563,9
640,GAHRL,0.33113285284259103,0.3543651335974485,0.24864518683224787,0.5313467874332077,0.1901743035074602,69.39292194133048,269.6469073311472,437.3366172881873,155.71062908309818,9
640,ORR,0.3967346303633344,0.48571598381215636,0.2805722774318709,0.5451024833864547,0.27554777682285553,83.14080969267141,296.347214013659,426.28765596270034,139.70196184659838,9
640,LASA,0.5512998933683686,0.278414470240075,0.0,1.0,0.9267851032333994,61.44351626355792,61.707423373599845,60.901194586550645,17.58625956071988,9
640,FG-orig,0.75,1.0,1.0,0.0,1.0,136.9685459829355,897.9974260344467,864.1292801040211,3.8574879227053143,9
640,FG-selected,0.5317343595418981,0.82454153361599,0.367341232477585,0.610435533610196,0.3246191384638217,118.6041174548612,368.9112236597182,373.81031511046785,130.50042571546257,9
