layer_digest,size_mb,num_images,images
sha256:fa727679629fc5e6e40a294002163bb5695173ef75d531814e0965300e433ecc,0.0018,1,jetty:11
sha256:7feb5ae2c4ceb9fe0ba2940fdc886abc56eb042fbaf9a73babf6d6784677d7bc,14.0143,1,jetty:11
sha256:df8fd45c97cdc03c294a3813fd5dbdfccd2e3609de14ffa984b6f160afbb7edf,0.0022,1,jetty:11
sha256:220e5f46c2556ad3d4e13b9f9820a6a493d998f1bc423515840a27d7a4f41ffe,21.8975,1,jetty:11
sha256:4f4fb700ef54461cfa02571ae0db9a0dc1e0cdb5577484a6d75e68dc38e8acc1,0.0,1,jetty:11
sha256:a3307ab29355ce71f400857b35cca7442414151b6d8d767171d67282f986ad07,150.5272,1,jetty:11
sha256:24ebe7eabaf26192ec8e30edade0a6df98ef2590420dfb0ef843456388a54147,0.0002,1,jetty:11
sha256:a3629ac5b9f4680dc2032439ff2354e73b06aecc2e68f0035a2d7c001c8b4114,28.3489,1,jetty:11
