layer_digest,size_mb,num_images,images
sha256:3257f871434a4e941d38c55bf377684529017c8f6fc696e7b8cf2df996e818a2,8.8806,1,maven:3.9-eclipse-temurin-17
sha256:0961ff7cbedc45e5043b4b33815ce472db8e46557bb3f49ce92f191ca481c145,0.0003,1,maven:3.9-eclipse-temurin-17
sha256:78dbd4bf6df60adadc649324ed935bca4d910519f68acf374ab030c3c9cb3048,21.9015,1,maven:3.9-eclipse-temurin-17
sha256:f907e7b2d67743a675319ea202651b65dc9b515430be6018c6fd18bf88461f64,0.0002,1,maven:3.9-eclipse-temurin-17
sha256:2c1c6b9f4edcabc5d8f76152a6a62916825e5ca2f24ad98f8d69339e443a831c,21.4969,1,maven:3.9-eclipse-temurin-17
sha256:b40150c1c2717d324cdb17278c8efdfa4dfcd2ffe083e976f0bcedf31115f081,28.3556,1,maven:3.9-eclipse-temurin-17
sha256:286cf14499d5b0f1da8709959ce97f11188bd32cbb5b46a0892214ccdfc88861,0.0022,1,maven:3.9-eclipse-temurin-17
sha256:9edb174f120623b8df0c576cde92879ade151fd9b9ba025dbcf1ec7c13eca853,0.0001,1,maven:3.9-eclipse-temurin-17
sha256:75f3fd0f1c2176e779aabd80195ebcf9b908f943622f8d916931360b0cbf665b,138.8872,1,maven:3.9-eclipse-temurin-17
sha256:f2a01c67b29b14bce456455fc54a0d4aefb214a382cef5c95a55855932acdc8f,0.0008,1,maven:3.9-eclipse-temurin-17
