case,base_requests,target_requests,cache_scale,wan_mb_s,policy,num_seeds,mean_ready_s_mean,mean_ready_s_ci95,p95_ready_s_mean,p95_ready_s_ci95,makespan_s_mean,makespan_s_ci95,registry_mb_mean,registry_mb_ci95,peer_mb_mean,peer_mb_ci95,evicted_mb_mean,evicted_mb_ci95,refused_cache_mb_mean,refused_cache_mb_ci95
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,c_lru,5,606.6456112186947,38.704743388748035,1184.1,151.7073205817045,1272.8,129.48967342499574,12728.0,1294.8967342499554,3251.4,624.9377170548757,10265.0,578.4100938925599,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,cloud_fifo,5,867.991055914039,30.917583837813122,1508.3399999999997,98.75573082952337,1597.9399999999991,98.34841854399824,15979.4,983.4841854399895,0.0,0.0,10118.2,758.4468912744253,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,cloud_sjf,5,828.5220163297225,15.684208517980945,1511.62,97.87222540062298,1597.94,98.34841854399876,15979.4,983.4841854399895,0.0,0.0,10160.2,593.8268251783849,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,d_lease,5,541.5412862946393,37.02238417242509,1171.7200000000003,132.60549569778155,1260.42,129.89741400661666,12604.2,1298.9741400661676,3375.2,705.8901315285829,9741.8,556.9526372658989,6362.0,1373.9657691223606
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,l_lease,5,541.2252659672902,38.73067906281958,1173.68,135.73783897748757,1262.38,130.5527270939002,12623.8,1305.5272709390024,3355.6,737.4618379643518,9715.2,553.7395687973182,6362.0,1373.9657691223606
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,l_lru,5,572.0181217986931,30.04186659604186,1259.5200000000002,95.29654221222523,1348.2200000000003,124.88212961966326,13482.2,1248.8212961966335,2497.2,472.2769892110349,10067.2,533.7277105677014,6032.0,1312.2122930367632
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,p2p_sjf,5,678.2966083584597,18.06796868949356,1295.0264650693953,93.79454297318375,1347.32,136.09718739656012,13473.2,1360.9718739656007,2506.2,447.77181176916434,10173.2,590.7595418759141,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,c_lru,5,202.22685528251634,12.84771801141532,394.44,51.03949771704088,424.00666666666666,43.61771835602589,12720.2,1308.5315506807774,3259.2,637.9870093252996,10179.6,684.650525286704,6080.6,1491.9324234828332
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,cloud_fifo,5,289.3303519713468,10.305861279271234,502.78000000000077,32.91857694317498,532.6466666666676,32.78280618133312,15979.4,983.4841854399895,0.0,0.0,10118.2,758.4468912744253,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,cloud_sjf,5,276.17400544324084,5.228069505993998,503.87333333333333,32.62407513354099,532.6466666666668,32.78280618133295,15979.4,983.4841854399895,0.0,0.0,10160.2,593.8268251783849,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,d_lease,5,180.41577286975556,12.209740196289252,390.5733333333334,44.20183189926054,420.14000000000004,43.29913800220559,12604.2,1298.9741400661676,3375.2,705.8901315285829,9741.8,556.9526372658989,6362.0,1373.9657691223606
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,l_lease,5,180.34386991724244,12.676910811836713,391.2266666666667,45.24594632582918,420.79333333333335,43.51757569796672,12623.8,1305.5272709390024,3355.6,737.4618379643518,9716.6,550.3370815921456,6362.0,1373.9657691223606
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,l_lru,5,191.0025960065628,9.57126174250129,421.2200000000001,32.63789319425027,450.78666666666675,41.306641618189126,13523.6,1239.1992485456726,2455.8,431.25175635658564,10116.0,548.002368835756,6032.0,1312.2122930367632
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,p2p_sjf,5,225.94178912495062,5.777344489342296,430.4984654720964,31.302803693712193,449.1666666666667,45.409482961220064,13475.0,1362.2844888366012,2504.4,448.9613394235187,10174.0,590.6510014795539,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,c_lru,5,61.98180465680113,3.427490788441178,129.69624269639422,17.993813836944152,142.26207602972755,16.805461798277726,12724.8,1359.6867836653555,3254.6,584.4423500077315,10239.0,491.79642951448926,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,cloud_fifo,5,86.85120203379584,3.0895561755932124,150.84999999999974,9.8780323673413,163.01799999999992,10.785167321580367,15979.4,983.4841854399895,0.0,0.0,10118.2,758.4468912744253,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,cloud_sjf,5,82.907369533007,1.6164330906406388,151.16199999999998,9.787222540062295,163.01799999999997,10.785167321580209,15979.4,983.4841854399895,0.0,0.0,10160.2,593.8268251783849,6006.4,1380.144062661054
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,d_lease,5,54.91649476332863,3.8438873859324896,128.80065215109548,18.140945722021232,141.3664854844288,16.433451588652503,12570.2,1251.9345747470352,3409.2,652.8130984793733,9733.4,534.0829214743343,6362.0,1373.9657691223606
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,l_lease,5,54.892599950254166,3.973536423484862,128.94665215109546,18.42504590078678,141.5124854844288,16.382725225143073,12589.8,1259.7521644732506,3389.6,688.6956686764916,9706.0,533.5613542347309,6362.0,1373.9657691223606
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,l_lru,5,58.30401548631164,3.451155494175312,137.68429870827234,14.937580499704257,150.25013204160567,17.24440437148491,13513.2,1328.099268671977,2466.2,480.0228184216246,9988.8,770.8449664583923,6128.6,1346.735022573691
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,p2p_sjf,5,66.80906885833345,1.5503000538239509,126.87511444597891,10.663894126601736,134.54914785936614,13.648882596020982,13301.2,1378.5766370504905,2678.2,499.151046250972,10086.0,374.3135177382724,6085.2,1172.2306811520673
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,c_lru,5,416.3045090267896,30.91618580031984,715.5262069809775,75.08049269071165,719.4534693751574,68.85918245831493,6915.8,682.0437101000492,9138.0,1277.4948714592945,14769.0,971.2957820874134,30.2,83.83519999999999
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,cloud_fifo,5,718.6406139117285,99.25935808437968,1482.0199999999998,89.94670098358672,1605.3799999999999,118.60319574827216,16053.8,1186.0319574826976,0.0,0.0,15764.8,939.026634474997,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,cloud_sjf,5,738.7252776736763,56.38939152539069,1520.64,120.95903888702838,1605.38,118.60319574827002,16053.8,1186.0319574826976,0.0,0.0,14797.0,939.9402364082514,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,d_lease,5,367.62831192741146,31.1744584836407,654.1758316550926,57.837861625376384,658.6275620618386,56.47138056489346,6320.4,599.0525671352723,9733.4,1199.955533771881,14727.0,1411.6630100122336,250.2,457.70962097189954
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,l_lease,5,368.44379331874705,31.20207481577304,652.9083348930775,58.78512009738936,660.3131082837301,55.780032774594815,6320.4,599.0525671352723,9733.4,1199.955533771881,14457.6,737.228775214424,427.6,530.0907018442787
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,l_lru,5,392.11797852337986,29.754290926580868,728.8406228808423,61.80715883374853,788.5578452380952,57.27864328279611,7822.6,522.5281546230403,8231.2,1169.5619099039775,15183.4,1156.845701109426,27.8,77.1728
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,p2p_sjf,5,505.6480299063691,31.718714916255735,1046.6592703621975,160.83904649278892,1073.98,183.75848111877286,10739.8,1837.584811187728,5314.0,1420.6913308870435,14819.8,945.7512188311679,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,c_lru,5,141.75588927625992,8.74886737343464,257.84994893439296,20.661065014835614,265.7297539740729,17.540130504299547,6917.2,715.1540660936214,9136.6,1288.7271975425053,14875.0,1066.3811687189527,30.2,83.83519999999999
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,cloud_fifo,5,239.54687130390988,33.08645269479336,494.00666666666746,29.98223366119467,535.1266666666673,39.534398582756324,16053.8,1186.0319574826976,0.0,0.0,15764.8,939.026634474997,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,cloud_sjf,5,246.2417592245588,18.796463841796847,506.87999999999994,40.31967962900944,535.1266666666667,39.53439858275665,16053.8,1186.0319574826976,0.0,0.0,14797.0,939.9402364082514,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,d_lease,5,126.49994584439578,10.992496890377392,240.66103150566795,21.362540954653642,249.62131104076593,18.905351026543517,6364.0,614.8022184891657,9689.8,1108.2963671526852,14895.0,729.1744093809107,140.6,182.06116165113303
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,l_lease,5,126.74792065771483,11.071914080954931,246.82077235449736,25.701047493861804,254.66217874779542,25.120135680593318,6497.8,787.1247038322707,9556.0,872.9034779868847,14769.0,474.7122336405498,250.2,457.70962097189954
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,l_lru,5,134.30104384141092,11.805388041733364,269.3213811463845,41.50454960553168,281.8510387169312,35.215554650591855,7774.8,759.4561703433847,8279.0,719.4806145902751,14965.0,728.5733505178459,205.2,479.03288542879807
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,p2p_sjf,5,168.38767248230698,9.672971190773628,347.70824777277,56.25259856163622,357.1470166666667,63.34840996922368,10714.4,1900.4366242034378,5339.4,1490.2406258091876,14827.4,935.9376114332408,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,c_lru,5,44.921463665487146,2.7030365418735784,95.8854862227774,12.056026612650426,101.79881955611074,10.058400662057318,6867.2,757.7317651521809,9186.6,1299.6461788370555,14594.4,1206.4496,207.6,576.2975999999999
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,cloud_fifo,5,71.90882019856097,9.951896842742544,148.20199999999969,8.994670098358181,164.16599999999977,14.492913925700986,16053.8,1186.0319574826976,0.0,0.0,15764.8,939.026634474997,0.0,0.0
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,cloud_sjf,5,73.91318701879142,5.652649469695389,152.06399999999996,12.095903888702843,164.166,14.492913925701243,16053.8,1186.0319574826976,0.0,0.0,14797.0,939.9402364082514,0.0,0.0
