case,base_requests,target_requests,cache_scale,wan_mb_s,num_seeds,mean_gain_pct,mean_gain_ci95,p95_gain_pct,p95_gain_ci95,registry_delta_pct,registry_delta_ci95
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,10.0,5,10.553794808259592,8.196178933967195,0.9089200755454209,4.142701157554768,-0.9373088708710265,3.836198261944821
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,30.0,5,10.604196082518111,8.231887168223373,0.8330334773747275,4.2071150544769615,-0.8687607987461643,3.8938836230414653
drtp_img88_cacheonly_1024mb_1000,1000,500,0.5,100.0,5,11.308795559053618,6.692389525927634,0.679624646144454,3.1879805674053476,-1.1480907151939068,3.1072786991208616
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,10.0,5,11.606214306665215,6.303138985555447,8.198396517484685,10.096539462533109,-8.437487445814119,7.18738919819551
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,30.0,5,10.727840636027858,6.3030945191955,6.503033561793062,8.320299367875755,-7.819833933743651,7.058260015295284
drtp_img88_cacheonly_1024mb_1000,1000,500,1.0,100.0,5,9.824578370660884,7.748818395178457,8.575270489876868,14.630741063518382,-0.9876335463532869,6.628614587342031
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,10.0,5,7.044181755626304,8.44770390499212,7.804835351971434,9.641691243028639,-9.9889791118979,12.605083030856534
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,30.0,5,4.63848685974659,6.576359899451185,6.515655252335001,7.054978113075549,-9.979557073520327,12.606694251144342
drtp_img88_cacheonly_1024mb_1000,1000,500,2.0,100.0,5,2.906083917732626,10.499820785476206,-1.5334369816809756,9.515318431038798,-6.926877555698998,5.671188763546666
drtp_img88_cacheonly_1024mb_200,200,100,0.5,10.0,5,2.971287707363274,3.217368566425445,-0.5228381346180085,9.2143679263408,0.34788406804934885,5.070844527068198
drtp_img88_cacheonly_1024mb_200,200,100,0.5,30.0,5,4.843716604251446,2.626106417473399,0.6216680322272352,7.466833123680876,-0.3276202305464862,4.869864167904932
drtp_img88_cacheonly_1024mb_200,200,100,0.5,100.0,5,5.279121155032444,2.657910329184293,0.43143067572263094,10.070137091966288,0.4925769688195349,3.5917800577280974
drtp_img88_cacheonly_1024mb_200,200,100,1.0,10.0,5,8.932754330344848,4.520656861893085,8.713368208708909,5.438627431049835,-6.519139276081464,5.710699622897294
drtp_img88_cacheonly_1024mb_200,200,100,1.0,30.0,5,7.067412159694596,4.838588632213759,4.996572992272281,6.551839475337805,-6.877899273224018,6.057714876766138
drtp_img88_cacheonly_1024mb_200,200,100,1.0,100.0,5,6.528165928610966,4.611397264021212,3.0390198549386875,11.710161780683164,-5.964316674570292,5.492778968385184
drtp_img88_cacheonly_1024mb_200,200,100,2.0,10.0,5,11.79258614920635,12.331511500933726,12.379160320248321,11.213988291832454,-15.33741103749881,6.365036435079864
drtp_img88_cacheonly_1024mb_200,200,100,2.0,30.0,5,10.33823596361949,8.852817487764543,6.403415549984027,12.73393022582427,-15.57171125366744,7.769605529071123
drtp_img88_cacheonly_1024mb_200,200,100,2.0,100.0,5,5.879523153500253,6.571345406346486,3.9833877323244202,8.716896515217627,-12.634248014176212,12.01835412149617
drtp_img88_cacheonly_1024mb_500,500,250,0.5,10.0,5,9.983042336802217,4.646466369631541,3.1624488361983945,7.837856748458863,-0.15129175324704716,4.426626722644772
drtp_img88_cacheonly_1024mb_500,500,250,0.5,30.0,5,10.546781127112538,4.476980187651325,5.008950091151412,8.677588706277792,-1.8640290811813913,3.88874963701177
drtp_img88_cacheonly_1024mb_500,500,250,0.5,100.0,5,10.60996633821678,4.485196863531932,3.8559147937417815,8.912513195515587,-1.128035803501949,4.059329065987799
drtp_img88_cacheonly_1024mb_500,500,250,1.0,10.0,5,20.52323791596346,14.789031105939495,17.504663905059477,8.712658906967643,-15.180053066567737,4.431002763862501
drtp_img88_cacheonly_1024mb_500,500,250,1.0,30.0,5,20.04555331418644,15.528215176087546,18.33228382475722,13.685487260910685,-12.324724825130728,4.928779535244656
drtp_img88_cacheonly_1024mb_500,500,250,1.0,100.0,5,19.227530003491,14.045539809417681,21.255970250449344,14.38413133630312,-13.306154779513502,7.950337683056393
drtp_img88_cacheonly_1024mb_500,500,250,2.0,10.0,5,7.974087962682016,10.066902323084284,5.561403052676993,10.840187171923677,-3.1469547741523556,5.410822258958145
drtp_img88_cacheonly_1024mb_500,500,250,2.0,30.0,5,7.624477068096919,10.892741411890354,5.187503021866011,8.242028432633314,-3.1469547741523556,5.410822258958145
drtp_img88_cacheonly_1024mb_500,500,250,2.0,100.0,5,10.535156190313486,15.528587661848864,8.984824155368676,11.852425258158256,-6.0104080245677824,6.842596340769979
