label,file,round,step_reuse_mb_global,step_downloaded_mb_global,cumulative_reuse_mb_global,cumulative_downloaded_mb_global,active_nodes
baseline,result_1000.json,1,0,65492,0,65492,5
baseline,result_1000.json,2,65492,0,65492,65492,5
baseline,result_1000.json,3,65492,0,130984,65492,5
baseline,result_1000.json,4,65492,0,196476,65492,5
baseline,result_1000.json,5,65492,0,261968,65492,5
baseline,result_1000.json,6,65492,0,327460,65492,5
baseline,result_1000.json,7,65492,0,392952,65492,5
baseline,result_1000.json,8,65492,0,458444,65492,5
baseline,result_1000.json,9,65492,0,523936,65492,5
baseline,result_1000.json,10,65492,0,589428,65492,5
baseline,result_1000.json,11,65492,0,654920,65492,5
baseline,result_1000.json,12,65492,0,720412,65492,5
baseline,result_1000.json,13,65492,0,785904,65492,5
baseline,result_1000.json,14,65492,0,851396,65492,5
baseline,result_1000.json,15,65492,0,916888,65492,5
baseline,result_1000.json,16,65492,0,982380,65492,5
baseline,result_1000.json,17,65492,0,1047872,65492,5
baseline,result_1000.json,18,65492,0,1113364,65492,5
baseline,result_1000.json,19,65492,0,1178856,65492,5
baseline,result_1000.json,20,65492,0,1244348,65492,5
baseline,result_1000.json,21,65492,0,1309840,65492,5
baseline,result_1000.json,22,65492,0,1375332,65492,5
baseline,result_1000.json,23,65492,0,1440824,65492,5
baseline,result_1000.json,24,65492,0,1506316,65492,5
baseline,result_1000.json,25,65492,0,1571808,65492,5
baseline,result_1000.json,26,65492,0,1637300,65492,5
baseline,result_1000.json,27,65492,0,1702792,65492,5
baseline,result_1000.json,28,65492,0,1768284,65492,5
baseline,result_1000.json,29,65492,0,1833776,65492,5
baseline,result_1000.json,30,65492,0,1899268,65492,5
baseline,result_1000.json,31,65492,0,1964760,65492,5
baseline,result_1000.json,32,65492,0,2030252,65492,5
baseline,result_1000.json,33,65492,0,2095744,65492,5
baseline,result_1000.json,34,53464,20892,2149208,86384,5
baseline,result_1000.json,35,72706,1350,2221914,87734,5
baseline,result_1000.json,36,74056,0,2295970,87734,5
baseline,result_1000.json,37,74056,0,2370026,87734,5
baseline,result_1000.json,38,74056,0,2444082,87734,5
baseline,result_1000.json,39,74056,0,2518138,87734,5
baseline,result_1000.json,40,74056,0,2592194,87734,5
baseline,result_1000.json,41,74056,0,2666250,87734,5
baseline,result_1000.json,42,74056,0,2740306,87734,5
baseline,result_1000.json,43,74056,0,2814362,87734,5
baseline,result_1000.json,44,74056,0,2888418,87734,5
baseline,result_1000.json,45,74056,0,2962474,87734,5
baseline,result_1000.json,46,74056,0,3036530,87734,5
baseline,result_1000.json,47,74056,0,3110586,87734,5
baseline,result_1000.json,48,74056,0,3184642,87734,5
baseline,result_1000.json,49,74056,0,3258698,87734,5
baseline,result_1000.json,50,74056,0,3332754,87734,5
baseline,result_1000.json,51,74056,0,3406810,87734,5
baseline,result_1000.json,52,74056,0,3480866,87734,5
baseline,result_1000.json,53,74056,0,3554922,87734,5
baseline,result_1000.json,54,74056,0,3628978,87734,5
baseline,result_1000.json,55,74056,0,3703034,87734,5
baseline,result_1000.json,56,74056,0,3777090,87734,5
baseline,result_1000.json,57,74056,0,3851146,87734,5
baseline,result_1000.json,58,74056,0,3925202,87734,5
baseline,result_1000.json,59,74056,0,3999258,87734,5
baseline,result_1000.json,60,74056,0,4073314,87734,5
baseline,result_1000.json,61,74056,0,4147370,87734,5
baseline,result_1000.json,62,74056,0,4221426,87734,5
baseline,result_1000.json,63,74056,0,4295482,87734,5
baseline,result_1000.json,64,74056,0,4369538,87734,5
baseline,result_1000.json,65,74056,0,4443594,87734,5
baseline,result_1000.json,66,74056,0,4517650,87734,5
baseline,result_1000.json,67,44838,12072,4562488,99806,5
baseline,result_1000.json,68,56910,0,4619398,99806,5
baseline,result_1000.json,69,55556,1351,4674954,101157,5
baseline,result_1000.json,70,56907,0,4731861,101157,5
baseline,result_1000.json,71,56907,0,4788768,101157,5
