label,file,node_id,num_containers_on_node
baseline,result_1000.json,edge-1,0
baseline,result_1000.json,edge-2,0
baseline,result_1000.json,edge-3,198
baseline,result_1000.json,edge-4,202
baseline,result_1000.json,edge-5,0
baseline,result_1000.json,edge-6,198
baseline,result_1000.json,edge-7,198
baseline,result_1000.json,edge-8,204
mid,result_1000_mid.json,edge-1,102
mid,result_1000_mid.json,edge-2,68
mid,result_1000_mid.json,edge-3,68
mid,result_1000_mid.json,edge-4,134
mid,result_1000_mid.json,edge-5,100
mid,result_1000_mid.json,edge-6,198
mid,result_1000_mid.json,edge-7,132
mid,result_1000_mid.json,edge-8,198
mid2,result_1000_mid2.json,edge-1,102
mid2,result_1000_mid2.json,edge-2,102
mid2,result_1000_mid2.json,edge-3,68
mid2,result_1000_mid2.json,edge-4,134
mid2,result_1000_mid2.json,edge-5,99
mid2,result_1000_mid2.json,edge-6,198
mid2,result_1000_mid2.json,edge-7,198
mid2,result_1000_mid2.json,edge-8,99
tuned,result_1000_tuned.json,edge-1,198
tuned,result_1000_tuned.json,edge-2,111
tuned,result_1000_tuned.json,edge-3,68
tuned,result_1000_tuned.json,edge-4,100
tuned,result_1000_tuned.json,edge-5,102
tuned,result_1000_tuned.json,edge-6,198
tuned,result_1000_tuned.json,edge-7,112
tuned,result_1000_tuned.json,edge-8,111
