label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_1000.json,FG-DSCR,c470,default,edge-3,1,0.0,719.4,719.4,736.4,17.0,0,7194
baseline,result_1000.json,FG-DSCR,c710,default,edge-3,2,736.4,0.0,736.4,753.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c560,default,edge-3,3,753.4,0.0,753.4,770.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c620,default,edge-3,4,770.4,0.0,770.4,787.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c500,default,edge-3,5,787.4,0.0,787.4,804.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c650,default,edge-3,6,804.4,0.0,804.4,821.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c950,default,edge-3,7,821.4,0.0,821.4,838.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c380,default,edge-3,8,838.4,0.0,838.4,855.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c860,default,edge-3,9,855.4,0.0,855.4,872.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c170,default,edge-3,10,872.4,0.0,872.4,889.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c890,default,edge-3,11,889.4,0.0,889.4,906.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c770,default,edge-3,12,906.4,0.0,906.4,923.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c020,default,edge-3,13,923.4,0.0,923.4,940.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c530,default,edge-3,14,940.4,0.0,940.4,957.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c140,default,edge-3,15,957.4,0.0,957.4,974.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c920,default,edge-3,16,974.4,0.0,974.4,991.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c680,default,edge-3,17,991.4,0.0,991.4,1008.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c200,default,edge-3,18,1008.4,0.0,1008.4,1025.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c350,default,edge-3,19,1025.4,0.0,1025.4,1042.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c440,default,edge-3,20,1042.4,0.0,1042.4,1059.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c410,default,edge-3,21,1059.4,0.0,1059.4,1076.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c110,default,edge-3,22,1076.4,0.0,1076.4,1093.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c980,default,edge-3,23,1093.4,0.0,1093.4,1110.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c830,default,edge-3,24,1110.4,0.0,1110.4,1127.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c320,default,edge-3,25,1127.4,0.0,1127.4,1144.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c800,default,edge-3,26,1144.4,0.0,1144.4,1161.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c230,default,edge-3,27,1161.4,0.0,1161.4,1178.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c080,default,edge-3,28,1178.4,0.0,1178.4,1195.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c740,default,edge-3,29,1195.4,0.0,1195.4,1212.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c260,default,edge-3,30,1212.4,0.0,1212.4,1229.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c290,default,edge-3,31,1229.4,0.0,1229.4,1246.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c050,default,edge-3,32,1246.4,0.0,1246.4,1263.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c590,default,edge-3,33,1263.4,0.0,1263.4,1280.4,17.0,7194,0
baseline,result_1000.json,FG-DSCR,c053,default,edge-3,34,1280.4,207.0,1487.4,1501.4,14.0,5690,2070
baseline,result_1000.json,FG-DSCR,c233,default,edge-3,35,1501.4,0.0,1501.4,1515.4,14.0,7760,0
baseline,result_1000.json,FG-DSCR,c143,default,edge-3,36,1515.4,0.0,1515.4,1529.4,14.0,7760,0
baseline,result_1000.json,FG-DSCR,c533,default,edge-3,37,1529.4,0.0,1529.4,1543.4,14.0,7760,0
baseline,result_1000.json,FG-DSCR,c353,default,edge-3,38,1543.4,0.0,1543.4,1557.4,14.0,7760,0
baseline,result_1000.json,FG-DSCR,c413,default,edge-3,39,1557.4,0.0,1557.4,1571.4,14.0,7760,0
