base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_s_mean,mean_ready_s_ci95,p95_ready_s_mean,p95_ready_s_ci95,makespan_s_mean,makespan_s_ci95,registry_mb_mean,registry_mb_ci95,peer_mb_mean,peer_mb_ci95,p2p_offload_pct_mean,p2p_offload_pct_ci95,runtime_ms_mean,runtime_ms_ci95
200,100,0.5,10.0,dragonfly_style,20,745.1200555057209,24.08924365612751,1398.2750000000003,58.76686417950705,1460.3650000000005,53.128906440219104,14603.65,531.2890644021907,2666.95,230.92312538221654,15.423136264756433,1.193570547706896,103.50937731564045,6.797830031103164
200,100,0.5,10.0,ilrsa_style,20,1237.3215936470842,47.04869983058606,1723.2099999999991,61.55462247003416,1727.0599999999977,60.74420595284607,17270.6,607.4420595284685,0.0,0.0,0.0,0.0,173.7426359206438,13.951858382638646
200,100,0.5,10.0,metapipe_reactive_style,20,671.7358474908449,21.783141631747256,1350.3950000000002,60.00679100230822,1403.6150000000002,53.19108317598942,14036.15,531.9108317598942,3234.45,318.5004890237035,18.68739432955435,1.6663373357530908,137.00985200703144,10.29770416956486
200,100,0.5,10.0,peersync_style,20,702.4138421254098,21.956506364080912,1316.2900000000004,58.0143402146977,1378.3800000000006,50.053197526396325,13783.8,500.53197526396275,3486.8,282.7906233316016,20.151676899493808,1.3874538964591285,168.10760386288166,10.570452665667872
200,100,0.5,10.0,registry,20,963.9233184086335,27.42811688630663,1670.2749999999974,60.591007495240106,1727.0599999999972,60.74420595284672,17270.6,607.4420595284685,0.0,0.0,0.0,0.0,86.50158531963825,5.6922838524273685
200,100,0.5,30.0,dragonfly_style,20,249.53151931031806,8.329024405868697,467.56333333333333,19.534970188650885,488.26,17.92323297274551,14647.8,537.6969891823608,2622.8,234.86577006289986,15.170694527363473,1.2304610264769111,103.36357019841671,6.885451528080589
200,100,0.5,30.0,ilrsa_style,20,412.4405312156949,15.682899943528787,574.403333333334,20.518207490011818,575.686666666667,20.24806865094901,17270.6,607.4420595284685,0.0,0.0,0.0,0.0,173.60640689730644,13.857805707112517
200,100,0.5,30.0,metapipe_reactive_style,20,223.52377454018293,7.22853171451337,452.04164583333335,20.324625426306064,468.3033125,17.968590423176245,14049.05,539.1028104135966,3221.55,316.96015534031926,18.61924951849633,1.675256046647278,138.92894722521305,10.402075585475098
200,100,0.5,30.0,peersync_style,20,235.11096323874744,7.504294355056883,442.71499999999986,19.464288314659527,460.4549999999998,16.15208073119025,13813.65,484.5624219357059,3456.95,291.45683962218845,19.962873329106223,1.400584294543152,168.14255267381668,10.64655329354943
200,100,0.5,30.0,registry,20,321.3077728028782,9.142705628768871,556.7583333333332,20.197002498413454,575.6866666666667,20.248068650949026,17270.6,607.4420595284685,0.0,0.0,0.0,0.0,86.18533536791801,5.6987868429293025
200,100,0.5,100.0,dragonfly_style,20,76.6090254024615,2.5828019209752333,151.42946283004244,7.557366861878658,161.03862949670912,6.996664442868724,14637.1,557.7150403991842,2633.5,259.7699518995048,15.238368646889118,1.403090604368507,104.06938157975674,6.935703722268615
200,100,0.5,100.0,ilrsa_style,20,123.82421276111634,4.690232910894422,173.44216666666702,5.915300118477706,173.9863333333337,5.8002134303905475,17270.6,607.4420595284685,0.0,0.0,0.0,0.0,173.9524256438017,13.896531946910555
200,100,0.5,100.0,metapipe_reactive_style,20,69.08932273238393,2.3394289610416044,151.1453243021824,7.610391779510008,157.05865763551571,6.947631673042632,14130.85,568.4071839578397,3139.75,274.92194889573824,18.18019654941243,1.5000542179864602,142.83867850899696,10.68769093596228
