case,base_requests,target_requests,seed,cache_scale,wan_mb_s,policy,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,total_transfer_mb,evicted_mb,refused_cache_mb,max_lease_mb
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,10.0,cloud_fifo,94,6,911.1202127659564,1449.0999999999976,1535.099999999997,15351.0,0.0,15351.0,10024.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,10.0,cloud_sjf,94,6,942.523404255319,1426.7,1535.1000000000001,15351.0,0.0,15351.0,10168.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,10.0,p2p_sjf,94,6,795.182334634244,1246.5549199916272,1351.8000000000002,13518.0,1833.0,15351.0,10093.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,10.0,c_lru,94,6,601.0395891895485,1043.0999999999997,1131.7999999999997,11318.0,4033.0,15351.0,9948.0,5780.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,10.0,l_lru,94,6,602.1955790321048,1109.1000000000001,1197.8000000000002,11978.0,3373.0,15351.0,10476.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,10.0,l_lease,94,6,575.1225741683553,1048.3999999999996,1137.0999999999997,11371.0,3980.0,15351.0,9556.0,6240.0,225.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,10.0,d_lease,94,6,573.3435174314702,1048.3999999999999,1137.1,11371.0,3980.0,15351.0,9556.0,6240.0,239.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,30.0,cloud_fifo,94,6,303.70673758865223,483.0333333333331,511.69999999999993,15351.0,0.0,15351.0,10024.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,30.0,cloud_sjf,94,6,314.17446808510596,475.56666666666655,511.6999999999999,15351.0,0.0,15351.0,10168.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,30.0,p2p_sjf,94,6,265.2681084168263,415.7863027445635,450.53333333333336,13516.0,1835.0,15351.0,10115.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,30.0,c_lru,94,6,200.63950679125995,347.7,377.26666666666665,11318.0,4033.0,15351.0,9970.0,5780.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,30.0,l_lru,94,6,198.80526523087903,367.56625,397.1329166666667,11913.0,3438.0,15351.0,10478.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,30.0,l_lease,94,6,195.8697362326214,362.6329166666667,392.19958333333335,11765.0,3586.0,15351.0,9843.0,5935.0,225.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,30.0,d_lease,94,6,188.96718779844358,319.9329166666667,379.06625,11371.0,3980.0,15351.0,9843.0,5935.0,239.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,100.0,cloud_fifo,94,6,91.2108865248226,144.90999999999968,159.12333333333316,15351.0,0.0,15351.0,10024.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,100.0,cloud_sjf,94,6,94.37177304964531,142.67,159.12333333333333,15351.0,0.0,15351.0,10168.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,100.0,p2p_sjf,94,6,79.35226120799699,124.57285968891843,141.2536121591984,13449.0,1902.0,15351.0,10171.0,5541.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,100.0,c_lru,94,6,61.64845152075928,112.76262518962491,123.85012518962492,11105.0,4246.0,15351.0,9938.0,5780.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,100.0,l_lru,94,6,62.70298377256435,121.68563453592006,132.77313453592006,12185.0,3166.0,15351.0,10380.0,5743.0,0.0
drtp_img88_cacheonly_1024mb_200,200,100,1,0.5,100.0,l_lease,94,6,58.965669751707814,102.59664715435628,128.4674804876896,11784.0,3567.0,15351.0,9843.0,5935.0,225.0
