nohup: ignoring input
[FIG2] method=ilrsa cache=1280 req=900
[FIG2] method=lrs cache=1280 req=900
[FIG2] method=gahrl cache=1280 req=900
[FIG2] method=orr cache=1280 req=900
[FIG2] method=lasa cache=1280 req=900
[FIG2] method=fg cache=1280 req=900
[FIG2] method=ilrsa cache=1280 req=1000
[FIG2] method=lrs cache=1280 req=1000
[FIG2] method=gahrl cache=1280 req=1000
[FIG2] method=orr cache=1280 req=1000
[FIG2] method=lasa cache=1280 req=1000
[FIG2] method=fg cache=1280 req=1000
[FIG2] method=ilrsa cache=1408 req=200
[FIG2] method=lrs cache=1408 req=200
[FIG2] method=gahrl cache=1408 req=200
[FIG2] method=orr cache=1408 req=200
[FIG2] method=lasa cache=1408 req=200
[FIG2] method=fg cache=1408 req=200
[FIG2] method=ilrsa cache=1408 req=300
[FIG2] method=lrs cache=1408 req=300
[FIG2] method=gahrl cache=1408 req=300
[FIG2] method=orr cache=1408 req=300
[FIG2] method=lasa cache=1408 req=300
[FIG2] method=fg cache=1408 req=300
[FIG2] method=ilrsa cache=1408 req=400
[FIG2] method=lrs cache=1408 req=400
[FIG2] method=gahrl cache=1408 req=400
[FIG2] method=orr cache=1408 req=400
[FIG2] method=lasa cache=1408 req=400
[FIG2] method=fg cache=1408 req=400
[FIG2] method=ilrsa cache=1408 req=500
[FIG2] method=lrs cache=1408 req=500
[FIG2] method=gahrl cache=1408 req=500
[FIG2] method=orr cache=1408 req=500
[FIG2] method=lasa cache=1408 req=500
[FIG2] method=fg cache=1408 req=500
[FIG2] method=ilrsa cache=1408 req=600
[FIG2] method=lrs cache=1408 req=600
[FIG2] method=gahrl cache=1408 req=600
[FIG2] method=orr cache=1408 req=600
[FIG2] method=lasa cache=1408 req=600
[FIG2] method=fg cache=1408 req=600
[FIG2] method=ilrsa cache=1408 req=700
[FIG2] method=lrs cache=1408 req=700
[FIG2] method=gahrl cache=1408 req=700
[FIG2] method=orr cache=1408 req=700
[FIG2] method=lasa cache=1408 req=700
[FIG2] method=fg cache=1408 req=700
[FIG2] method=ilrsa cache=1408 req=800
[FIG2] method=lrs cache=1408 req=800
[FIG2] method=gahrl cache=1408 req=800
[FIG2] method=orr cache=1408 req=800
[FIG2] method=lasa cache=1408 req=800
[FIG2] method=fg cache=1408 req=800
[FIG2] method=ilrsa cache=1408 req=900
[FIG2] method=lrs cache=1408 req=900
[FIG2] method=gahrl cache=1408 req=900
[FIG2] method=orr cache=1408 req=900
[FIG2] method=lasa cache=1408 req=900
[FIG2] method=fg cache=1408 req=900
[FIG2] method=ilrsa cache=1408 req=1000
[FIG2] method=lrs cache=1408 req=1000
[FIG2] method=gahrl cache=1408 req=1000
[FIG2] method=orr cache=1408 req=1000
[FIG2] method=lasa cache=1408 req=1000
[FIG2] method=fg cache=1408 req=1000
[FIG2] method=ilrsa cache=1536 req=200
[FIG2] method=lrs cache=1536 req=200
[FIG2] method=gahrl cache=1536 req=200
[FIG2] method=orr cache=1536 req=200
[FIG2] method=lasa cache=1536 req=200
[FIG2] method=fg cache=1536 req=200
[FIG2] method=ilrsa cache=1536 req=300
[FIG2] method=lrs cache=1536 req=300
[FIG2] method=gahrl cache=1536 req=300
[FIG2] method=orr cache=1536 req=300
[FIG2] method=lasa cache=1536 req=300
[FIG2] method=fg cache=1536 req=300
