case,num_nodes,num_domains,seed,wan_mb_s,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,same_domain_peer_mb,cross_domain_peer_mb,p2p_offload_pct,peak_link_utilization,p95_link_utilization,wan_busy_time_s,avg_layer_transfer_s,evicted_mb,not_preserved_mb,pulse_ms,scout_ms,keep_ms,scheduler_runtime_ms,scheduling_cycles,pulse_selected_total,keep_virtual_queue,wall_runtime_s
cider_nodes20_domains4_req400_weak,20,4,1,10.0,200,0,37.17452971349463,139.96040594158293,204.5285000000001,2045.0,16767.0,4475.0,12292.0,89.12927918349989,1.0,0.5,204.50000000000009,5.173171564684662,4658.0,13421.0,808.6683675646782,69.52161341905594,815.8327266573906,1694.0227076411247,48,443,1431.4999999999993,1.91233628988266
cider_nodes30_domains5_req600_weak,30,5,1,10.0,300,0,27.539601224953,190.22850000000003,205.21072355061858,1991.0,20225.0,2356.0,17869.0,91.03799063737847,1.0,0.47124499999999997,199.1,5.267733897090884,7447.0,14182.0,622.0180615782738,115.81238359212875,1766.963705420494,2504.7941505908966,35,449,1375.453329348145,2.8425453826785088
cider_nodes40_domains8_req800_weak,40,8,1,10.0,400,0,71.55541385531497,292.30524206692945,314.2213134955009,3083.0,25874.0,11812.0,14062.0,89.35317885140036,1.0,0.24339025641025638,308.3000000000001,8.260682326150155,12941.0,13199.0,1649.3613570928574,329.4374719262123,3794.451117515564,5773.249946534634,82,697,2140.4215595134924,6.4048478454351425
cider_nodes50_domains10_req1000_weak,50,10,1,10.0,500,0,30.63686757744012,185.12849999999997,202.89249999999996,1851.0,30335.0,10291.0,20044.0,94.24905238302368,1.0,0.3314750000000001,185.09999999999997,3.7091723554033122,15371.0,16039.0,2446.0969418287277,599.4447693228722,7721.288427710533,10766.830138862133,97,852,1242.4079999999988,11.801970779895782
